query,queryId,retrievalQuery,queryConcentration,queryQuantity,queryDosageForm,cardIndex,cardRank,pharmacy,upstreamName,canonicalName,cardMatchKey,cardPresentationKey,offerMatchKey,offerCombinationKey,offerVariantKey,offerDosageForm,offerUnitCount,offerConcentration,offerConcentrationLevel,offerParsedFirstMagnitude,brand,manufacturer,activeIngredient,brandSource,laboratory,isBioequivalent,lexicalMatch,concentrationMatch,cfmId,effective,hasStock,onlineUrl,offersInCard
ambroxol 30mg/5ml,ambroxol-30mg-5ml,ambroxol,30mg/5ml,,,8,9,ahumada,Tocalm Adulto 30 mg/5 mL x 100 mL Jarabe,Tocalm Adulto 30 mg/5 mL x 100 mL Jarabe,tocalm|100ml|100,tocalm|100ml|100|bio:true|brand:unknown|form:fluid-oral,tocalm|100ml|100,,,fluid-oral,,30mg/5ml,ratio,30mg/5ml,,,,unknown,,true,compatible,exact,CFM-001435,2549,true,https://comparafarma-api.vercel.app/api/go?slug=ahumada&matchKey=tocalm%7C100ml%7C100&url=https%3A%2F%2Fwww.farmaciasahumada.cl%2Ftocalm-adulto-30-mg-5-ml-x-100-ml-jarabe-47395.html&cfmId=CFM-001435,1
ambroxol 30mg/5ml,ambroxol-30mg-5ml,ambroxol,30mg/5ml,,,9,10,araucomed,Tocalm Adulto 30mg/5ml jarabe 100 ml.,Tocalm Adulto 30mg/5ml jarabe 100 ml.,tocalm|100ml,tocalm|100ml|bio:unknown|brand:unknown|form:fluid-oral,tocalm|100ml,,,fluid-oral,,30mg/5ml,ratio,30mg/5ml,,,,unknown,,,compatible,exact,CFM-001430,2990,false,https://comparafarma-api.vercel.app/api/go?slug=araucomed&matchKey=tocalm%7C100ml&url=https%3A%2F%2Ffarmacia.araucomed.com%2Fmucoliticos-y-expectorantes%2Ftocalm-adulto-30mg-5ml-jarabe-100ml&cfmId=CFM-001430,1
ambroxol 30mg/5ml,ambroxol-30mg-5ml,ambroxol,30mg/5ml,,,10,11,ecofarmacias,Pazbronq Ambroxol Clorhidrato 30 Mg/ 5 Ml Jarabe 100 Ml,Pazbronq Ambroxol Clorhidrato 30 Mg/ 5 Ml Jarabe 100 Ml,pazbronq|100ml,pazbronq|100ml|bio:unknown|brand:unknown|var:ambroxol|form:fluid-oral,pazbronq|100ml,,ambroxol,fluid-oral,,30mg/5ml,ratio,30mg/5ml,Pazbronq,,ambroxol,name,,,exact,exact,CFM-001428,2990,false,https://comparafarma-api.vercel.app/api/go?slug=ecofarmacias&matchKey=pazbronq%7C100ml&url=https%3A%2F%2Fwww.ecofarmacias.cl%2Fproducto%2Fpazbronq-ambroxol-clorhidrato-30-mg-5-ml-jarabe-100-ml%2F&cfmId=CFM-001428,1
ambroxol 30mg/5ml,ambroxol-30mg-5ml,ambroxol,30mg/5ml,,,11,12,easyfarma,Amrodil 30 Mg/5ml 100 Ml,Amrodil 30 Mg/5ml 100 Ml,amrodil|100ml,amrodil|100ml|bio:unknown|brand:unknown,amrodil|100ml,,,,,30mg/5ml,ratio,30mg/5ml,,,,unknown,,,compatible,exact,CFM-014924,2990,true,https://comparafarma-api.vercel.app/api/go?slug=easyfarma&matchKey=amrodil%7C100ml&url=https%3A%2F%2Fnuevo.easyfarma.cl%2F105664-amrodil-30-mg-5ml-100-ml.html&cfmId=CFM-014924,1
ambroxol 30mg/5ml,ambroxol-30mg-5ml,ambroxol,30mg/5ml,,,12,13,salcobrand,Ambroxol 30mg/5ml Jarabe 100ml,Ambroxol 30mg/5ml Jarabe 100ml,ambroxol|100ml,ambroxol|100ml|bio:unknown|brand:ambroxol|form:fluid-oral,ambroxol|100ml,,,fluid-oral,,30mg/5ml,ratio,30mg/5ml,,,ambroxol,unknown,Ambroxol,,exact,exact,CFM-000068,3255,true,https://comparafarma-api.vercel.app/api/go?slug=salcobrand&matchKey=ambroxol%7C100ml&url=https%3A%2F%2Fsalcobrand.cl%2Fproducts%2Fambroxol-30mg-5ml-jaraabe-100ml%3Fdefault_sku%3D1763358&cfmId=CFM-000068,1
ambroxol 30mg/5ml,ambroxol-30mg-5ml,ambroxol,30mg/5ml,,,13,14,cruz-verde,Mintamox Adulto Ambroxol 30 mg / 5 mL Jarabe 100 mL,Mintamox Adulto Ambroxol 30 mg / 5 mL Jarabe 100 mL,mintamox|100ml,mintamox|100ml|bio:unknown|brand:unknown|var:ambroxol|form:fluid-oral,mintamox|100ml,,ambroxol,fluid-oral,,30mg/5ml,ratio,30mg/5ml,Mintamox,,ambroxol,name,,,exact,exact,CFM-001436,3790,true,https://comparafarma-api.vercel.app/api/go?slug=cruz-verde&matchKey=mintamox%7C100ml&url=https%3A%2F%2Fwww.cruzverde.cl%2Fmintamox-adulto-ambroxol-30-mg-5-ml-jarabe-100-ml%2F193049.html&cfmId=CFM-001436,1
ambroxol 30mg/5ml,ambroxol-30mg-5ml,ambroxol,30mg/5ml,,,14,15,araucomed,Muxol Adulto 30mg/5ml jarabe 100ml,Muxol Adulto 30mg/5ml jarabe 100ml,muxol|100ml,muxol|100ml|bio:unknown|brand:unknown|form:fluid-oral,muxol|100ml,,,fluid-oral,,30mg/5ml,ratio,30mg/5ml,,,,unknown,,,compatible,exact,CFM-000997,3990,true,https://comparafarma-api.vercel.app/api/go?slug=araucomed&matchKey=muxol%7C100ml&url=https%3A%2F%2Ffarmacia.araucomed.com%2Fmucoliticos-y-expectorantes%2Fmuxol-adulto-30mg-5ml-jarabe-100ml&cfmId=CFM-000997,1
ambroxol 30mg/5ml,ambroxol-30mg-5ml,ambroxol,30mg/5ml,,,15,16,cruz-verde,Muxol Jarabe Adulto Ambroxol 600 mg / 100 ml,Muxol Jarabe Adulto Ambroxol 600 mg / 100 ml,muxol|100ml,muxol|100ml|bio:unknown|brand:unknown|var:ambroxol|form:fluid-oral,muxol|100ml,,ambroxol,fluid-oral,,600mg/100ml,ratio,600mg/100ml,Muxol,,ambroxol,name,,,exact,exact,CFM-000997,4590,true,https://comparafarma-api.vercel.app/api/go?slug=cruz-verde&matchKey=muxol%7C100ml&url=https%3A%2F%2Fwww.cruzverde.cl%2Fmuxol-jarabe-adulto-ambroxol-600-mg-100-ml%2F6179.html&cfmId=CFM-000997,1
ambroxol 30mg/5ml,ambroxol-30mg-5ml,ambroxol,30mg/5ml,,,16,17,farmex,Muxol Jarabe adulto Ambroxol 30 mg / 5 mL x 100 mL,Muxol Jarabe adulto Ambroxol 30 mg / 5 mL x 100 mL,muxol|100ml|100,muxol|100ml|100|bio:unknown|brand:eurolab|var:ambroxol|form:fluid-oral,muxol|100ml|100,,ambroxol,fluid-oral,,30mg/5ml,ratio,30mg/5ml,Muxol,Eurolab,ambroxol,name,EUROLAB,,exact,exact,CFM-001433,5190,true,https://comparafarma-api.vercel.app/api/go?slug=farmex&matchKey=muxol%7C100ml%7C100&url=https%3A%2F%2Ffarmex.cl%2Fproducts%2Fmuxol-jarabe-adulto-ambroxol%3F_pos%3D1%26_psq%3Dambroxol%26_psid%3D160672eda%26_ss%3De&cfmId=CFM-001433,1
ambroxol 30mg/5ml,ambroxol-30mg-5ml,ambroxol,30mg/5ml,,,17,18,araucomed,Broncot Forte 30mg/5ml sin azucar 120 ml.,Broncot Forte 30mg/5ml sin azucar 120 ml.,broncot|120ml,broncot|120ml|bio:unknown|brand:unknown|var:forte,broncot|120ml,,forte,,,30mg/5ml,ratio,30mg/5ml,,,,unknown,,,compatible,exact,CFM-001431,5990,true,https://comparafarma-api.vercel.app/api/go?slug=araucomed&matchKey=broncot%7C120ml&url=https%3A%2F%2Ffarmacia.araucomed.com%2Fmucoliticos-y-expectorantes%2Fbroncot-gft-forte-30mg-5ml-sin-azucar-120ml&cfmId=CFM-001431,1
ambroxol 30mg/5ml,ambroxol-30mg-5ml,ambroxol,30mg/5ml,,,18,19,farmex,Broncot Forte G.T.F. Jarabe 30 mg / 5 mL x 120 mL,Broncot Forte G.T.F. Jarabe 30 mg / 5 mL x 120 mL,broncot|120ml|120,broncot|120ml|120|bio:unknown|brand:abbott|var:forte|form:fluid-oral,broncot|120ml|120,,forte,fluid-oral,,30mg/5ml,ratio,30mg/5ml,,Abbott,,unknown,ABBOTT,,compatible,exact,CFM-001432,6990,true,https://comparafarma-api.vercel.app/api/go?slug=farmex&matchKey=broncot%7C120ml%7C120&url=https%3A%2F%2Ffarmex.cl%2Fproducts%2Fbroncot-forte-g-t-f-jarabe-30-mg-5ml%3F_pos%3D8%26_psq%3Dambroxol%26_psid%3D160672eda%26_ss%3De&cfmId=CFM-001432,1
ambroxol 30mg/5ml,ambroxol-30mg-5ml,ambroxol,30mg/5ml,,,19,20,ahumada,Broncot Fte G.F.T. S/Azu. 30mg/5ml 120ml,Broncot Fte G.F.T. S/Azu. 30mg/5ml 120ml,broncot|120ml,broncot|120ml|bio:unknown|brand:unknown|var:fte,broncot|120ml,,fte,,,30mg/5ml,ratio,30mg/5ml,,,,unknown,,,compatible,exact,CFM-001431,7807,true,https://comparafarma-api.vercel.app/api/go?slug=ahumada&matchKey=broncot%7C120ml&url=https%3A%2F%2Fwww.farmaciasahumada.cl%2Fbroncot-fte-g.f.t.-s-azu.-30mg-5ml-120ml-50483.html&cfmId=CFM-001431,1
ambroxol 30mg/5ml,ambroxol-30mg-5ml,ambroxol,30mg/5ml,,,20,21,salcobrand,Broncot Ambroxol 30mg/5ml 120ml,Broncot Ambroxol 30mg/5ml 120ml,broncot|120ml,broncot|120ml|bio:unknown|brand:broncot|var:ambroxol,broncot|120ml,,ambroxol,,,30mg/5ml,ratio,30mg/5ml,Broncot,,ambroxol,structured,Broncot,,exact,exact,CFM-001431,8095,true,https://comparafarma-api.vercel.app/api/go?slug=salcobrand&matchKey=broncot%7C120ml&url=https%3A%2F%2Fsalcobrand.cl%2Fproducts%2Fbroncot-ambroxol-30mg-5ml-120ml%3Fdefault_sku%3D2830326&cfmId=CFM-001431,1
ambroxol 30mg/5ml,ambroxol-30mg-5ml,ambroxol,30mg/5ml,,,21,22,easyfarma,Muxol Adulto Jarabe...,Muxol Adulto Jarabe...,muxol,muxol|bio:unknown|brand:unknown|form:fluid-oral,muxol,,,fluid-oral,,,,,,,,unknown,,,compatible,unknown,CFM-001440,5490,true,https://comparafarma-api.vercel.app/api/go?slug=easyfarma&matchKey=muxol&url=https%3A%2F%2Fnuevo.easyfarma.cl%2F25414-muxol-adulto-jarabe-x-100ml.html&cfmId=CFM-001440,1
ambroxol 30mg/5ml,ambroxol-30mg-5ml,ambroxol,30mg/5ml,,,22,23,easyfarma,Muxol Pediatrico Jarabe x...,Muxol Pediatrico Jarabe x...,muxol,muxol|bio:unknown|brand:unknown|var:infantil|form:fluid-oral,muxol,,infantil,fluid-oral,,,,,,,,unknown,,,compatible,unknown,CFM-001440,5490,true,https://comparafarma-api.vercel.app/api/go?slug=easyfarma&matchKey=muxol&url=https%3A%2F%2Fnuevo.easyfarma.cl%2F25413-muxol-pediatrico-jarabe-x-100ml.html&cfmId=CFM-001440,1
ambroxol 30mg/5ml,ambroxol-30mg-5ml,ambroxol,30mg/5ml,,,23,24,easyfarma,Broncot Pediatrico GFT...,Broncot Pediatrico GFT...,broncot,broncot|bio:unknown|brand:unknown|var:infantil,broncot,,infantil,,,,,,,,,unknown,,,compatible,unknown,CFM-001434,8990,true,https://comparafarma-api.vercel.app/api/go?slug=easyfarma&matchKey=broncot&url=https%3A%2F%2Fnuevo.easyfarma.cl%2F24773-broncot-gft-jarabe.html&cfmId=CFM-001434,1
ambroxol 30mg/5ml,ambroxol-30mg-5ml,ambroxol,30mg/5ml,,,24,25,salcobrand,Muxol Ambroxol 20 Comprimidos,Muxol Ambroxol 20 Comprimidos,muxol|20,muxol|20|bio:unknown|brand:muxol|var:ambroxol|form:solid-oral,muxol|20,,ambroxol,solid-oral,20,,,,Muxol,,ambroxol,structured,Muxol,,exact,unknown,CFM-001441,10031,true,https://comparafarma-api.vercel.app/api/go?slug=salcobrand&matchKey=muxol%7C20&url=https%3A%2F%2Fsalcobrand.cl%2Fproducts%2Fmuxol-ambroxol-20-comprimidos%3Fdefault_sku%3D2979200&cfmId=CFM-001441,1
ambroxol 30mg/5ml,ambroxol-30mg-5ml,ambroxol,30mg/5ml,,,25,26,araucomed,Tocalm Infantil 15mg/5ml jarabe 100 ml.,Tocalm Infantil 15mg/5ml jarabe 100 ml.,tocalm|100ml,tocalm|100ml|bio:unknown|brand:unknown|var:infantil|form:fluid-oral,tocalm|100ml,,infantil,fluid-oral,,15mg/5ml,ratio,15mg/5ml,,,,unknown,,,exact,other,CFM-001430,790,false,https://comparafarma-api.vercel.app/api/go?slug=araucomed&matchKey=tocalm%7C100ml&url=https%3A%2F%2Ffarmacia.araucomed.com%2Fmucoliticos-y-expectorantes%2Ftocalm-infantil-15mg-5ml-jarabe-100ml&cfmId=CFM-001430,2
ambroxol 30mg/5ml,ambroxol-30mg-5ml,ambroxol,30mg/5ml,,,25,26,cruz-verde,Tocalm Pediatrico Ambroxol 15 mg/5mL Jarabe 100 mL,Tocalm Infantil 15mg/5ml jarabe 100 ml.,tocalm|100ml,tocalm|100ml|bio:unknown|brand:unknown|var:infantil|form:fluid-oral,tocalm|100ml,,infantil,fluid-oral,,15mg/5ml,ratio,15mg/5ml,,,,unknown,,,exact,other,CFM-001430,4290,true,https://comparafarma-api.vercel.app/api/go?slug=cruz-verde&matchKey=tocalm%7C100ml&url=https%3A%2F%2Fwww.cruzverde.cl%2Ftocalm-pediatrico-ambroxol-15-mg-5ml-jarabe-100-ml%2F111094.html&cfmId=CFM-001430,2
ambroxol 30mg/5ml,ambroxol-30mg-5ml,ambroxol,30mg/5ml,,,26,27,araucomed,Ambroxol 15mg/5ml jarabe 100ml (Eurofarma),Ambroxol 15mg/5ml jarabe 100ml (Eurofarma),ambroxol|100ml,ambroxol|100ml|bio:unknown|brand:eurofarma|form:fluid-oral,ambroxol|100ml,,,fluid-oral,,15mg/5ml,ratio,15mg/5ml,,Eurofarma,ambroxol,unknown,Eurofarma,,exact,other,CFM-000068,900,false,https://comparafarma-api.vercel.app/api/go?slug=araucomed&matchKey=ambroxol%7C100ml&url=https%3A%2F%2Ffarmacia.araucomed.com%2Fmucoliticos-y-expectorantes%2Fambroxol-15mg-5ml-jarabe-100ml-eurofarma&cfmId=CFM-000068,1
ambroxol 30mg/5ml,ambroxol-30mg-5ml,ambroxol,30mg/5ml,,,27,28,ecofarmacias,Ambroxol clorhidrato 30mg 100ml Ascend DESCUENTO,Ambroxol clorhidrato 30mg 100ml Ascend DESCUENTO,ambroxol|100ml,ambroxol|100ml|bio:unknown|brand:unknown,ambroxol|100ml,,,,,30mg,absolute,30mg,,,ambroxol,unknown,,,exact,other,CFM-000068,1100,false,https://comparafarma-api.vercel.app/api/go?slug=ecofarmacias&matchKey=ambroxol%7C100ml&url=https%3A%2F%2Fwww.ecofarmacias.cl%2Fproducto%2Fambroxol-clorhidrato-30mg-100ml-ascend-descuento%2F&cfmId=CFM-000068,1
ambroxol 30mg/5ml,ambroxol-30mg-5ml,ambroxol,30mg/5ml,,,28,29,araucomed,Ambroxol 15mg/5ml jarabe infantil x 100 ml. (Ascend),Ambroxol 15mg/5ml jarabe infantil x 100 ml. (Ascend),ambroxol|100ml|100,ambroxol|100ml|100|bio:unknown|brand:ascend|form:fluid-oral,ambroxol|100ml|100,,,fluid-oral,,15mg/5ml,ratio,15mg/5ml,,Ascend,ambroxol,unknown,Ascend,,exact,other,CFM-000816,1490,true,https://comparafarma-api.vercel.app/api/go?slug=araucomed&matchKey=ambroxol%7C100ml%7C100&url=https%3A%2F%2Ffarmacia.araucomed.com%2Fmucoliticos-y-expectorantes%2Fambroxol-15mg-5ml-jarabe-infantil-x-100-ml-ascend&cfmId=CFM-000816,1
ambroxol 30mg/5ml,ambroxol-30mg-5ml,ambroxol,30mg/5ml,,,29,30,ecofarmacias,Ambroxol Infantil 100ml (Andromaco),Ambroxol Infantil 100ml (Andromaco),ambroxol|100ml,ambroxol|100ml|bio:unknown|brand:unknown|var:infantil,ambroxol|100ml,,infantil,,,,,100ml,,,ambroxol,unknown,,,exact,other,CFM-000068,1890,false,https://comparafarma-api.vercel.app/api/go?slug=ecofarmacias&matchKey=ambroxol%7C100ml&url=https%3A%2F%2Fwww.ecofarmacias.cl%2Fproducto%2Fambroxol-infantil-100ml%2F&cfmId=CFM-000068,1
ambroxol 30mg/5ml,ambroxol-30mg-5ml,ambroxol,30mg/5ml,,,30,31,araucomed,Ambroxol 15mg/5ml jarabe infantil x 100 ml. (Mintlab),Ambroxol 15mg/5ml jarabe infantil x 100 ml. (Mintlab),ambroxol|100ml|100,ambroxol|100ml|100|bio:unknown|brand:mintlab|form:fluid-oral,ambroxol|100ml|100,,,fluid-oral,,15mg/5ml,ratio,15mg/5ml,,Mintlab,ambroxol,unknown,Mintlab,,exact,other,CFM-000816,1990,false,https://comparafarma-api.vercel.app/api/go?slug=araucomed&matchKey=ambroxol%7C100ml%7C100&url=https%3A%2F%2Ffarmacia.araucomed.com%2Fmucoliticos-y-expectorantes%2Fambroxol-15mg-5ml-jarabe-100ml-mintlab&cfmId=CFM-000816,1
ambroxol 30mg/5ml,ambroxol-30mg-5ml,ambroxol,30mg/5ml,,,31,32,araucomed,Mintamox Infantil 15mg/5ml jarabe 100ml,Mintamox Infantil 15mg/5ml jarabe 100ml,mintamox|100ml,mintamox|100ml|bio:unknown|brand:mintlab|var:infantil|form:fluid-oral,mintamox|100ml,,infantil,fluid-oral,,15mg/5ml,ratio,15mg/5ml,,Mintlab,,unknown,Mintlab,,compatible,other,CFM-001436,2490,false,https://comparafarma-api.vercel.app/api/go?slug=araucomed&matchKey=mintamox%7C100ml&url=https%3A%2F%2Ffarmacia.araucomed.com%2Fmucoliticos-y-expectorantes%2Fmintamox-infantil-15mg-5ml-jarabe-100ml&cfmId=CFM-001436,1
ambroxol 30mg/5ml,ambroxol-30mg-5ml,ambroxol,30mg/5ml,,,32,33,dr-simi,Tocalm ambroxol 15 mg/5 mL jarabe pediátrico 100 mL,Tocalm ambroxol 15 mg/5 mL jarabe pediátrico 100 mL,tocalm|100ml,tocalm|100ml|bio:true|brand:prater|var:ambroxol|form:fluid-oral,tocalm|100ml,,ambroxol,fluid-oral,,15mg/5ml,ratio,15mg/5ml,Tocalm,Prater,ambroxol,name,PRATER,true,exact,other,CFM-001430,2550,true,https://comparafarma-api.vercel.app/api/go?slug=dr-simi&matchKey=tocalm%7C100ml&url=https%3A%2F%2Fwww.drsimi.cl%2Ftocalm-15-mg-5ml-jarabe-infantil-100-ml%2Fp&cfmId=CFM-001430,1
ambroxol 30mg/5ml,ambroxol-30mg-5ml,ambroxol,30mg/5ml,,,33,34,farmex,Mintamox 15 mg / 5 mL x 100 mL,Mintamox 15 mg / 5 mL x 100 mL,mintamox|100ml|100,mintamox|100ml|100|bio:unknown|brand:mintlab,mintamox|100ml|100,,,,,15mg/5ml,ratio,15mg/5ml,,Mintlab,,unknown,MINTLAB,,compatible,other,CFM-014930,2690,true,https://comparafarma-api.vercel.app/api/go?slug=farmex&matchKey=mintamox%7C100ml%7C100&url=https%3A%2F%2Ffarmex.cl%2Fproducts%2Fmintamox-15-mg-5-ml-x-100-ml%3F_pos%3D2%26_psq%3Dambroxol%26_psid%3D160672eda%26_ss%3De&cfmId=CFM-014930,1
