query,pharmacies,canonical_name,base_laboratory,brand,brand_source,manufacturer,active_ingredient
paracetamol,2,"Gesidol Paracetamol 1gr 20 Comprimidos","","Gesidol",name,"","paracetamol"
paracetamol,1,"Alividol Paracetamol 1000 mg 20 comprimidos","","Alividol",name,"","paracetamol"
paracetamol,2,"Dropol Paracetamol 1 gr 20 Comprimidos","","Dropol",name,"","paracetamol"
paracetamol,1,"Geniol Paracetamol 1000 mg 20 Comprimidos","","Geniol",name,"","paracetamol"
paracetamol,1,"Tapsin paracetamol 500 mg 24 comprimidos","MAVER","Tapsin",name,"Maver","paracetamol"
paracetamol,3,"Paracetamol 500 mg 16 comprimidos","ANDRÓMACO","",unknown,"Andrómaco","paracetamol"
paracetamol,1,"Tral P paracetamol 325 mg tramadol 37,5 mg 30 comprimidos recubiertos","PASTEUR","Tral",name,"Pasteur","paracetamol"
paracetamol,1,"Dropol paracetamol 1 g 20 comprimidos","PASTEUR","Dropol",name,"Pasteur","paracetamol"
paracetamol,1,"Tramadol 37,5 mg paracetamol 325 mg 30 comprimidos recubiertos","SEVEN PHARMA","",unknown,"Seven Pharma",""
paracetamol,1,"Paracetamol 80 mg 16 comprimidos masticables","TEVA","",unknown,"Teva","paracetamol"
paracetamol,1,"Paracetamol 125 mg 6 supositorios infantiles","TEVA","",unknown,"Teva","paracetamol"
paracetamol,1,"Paracetamol 80 mg 20 comprimidos masticables infantil","MILAB","",unknown,"Milab","paracetamol"
paracetamol,2,"Tapsin Niños 160 mg x 16 comprimidos.","Maver","",unknown,"Maver",""
paracetamol,1,"Panadol para niños paracetamol 80 mg 20 comprimidos masticables","HALEON","Panadol",name,"Haleon","paracetamol"
paracetamol,1,"Desdol paracetamol 300 mg clorzoxazona 250 mg 20 comprimidos recubiertos","EUROFARMA","Desdol",name,"Eurofarma","paracetamol"
paracetamol,1,"Paracetamol 100 mg/mL solución para gotas orales infantil 15 mL","TEVA","",unknown,"Teva","paracetamol"
paracetamol,1,"Tapsin Duo paracetamol 300 mg ibuprofeno 200 mg 12 comprimidos recubiertos","MAVER","Tapsin",name,"Maver","paracetamol"
paracetamol,1,"Algiafin paracetamol 120 mg/5 mL jarabe 60 mL","INTERPHARMA","Algiafin",name,"Interpharma","paracetamol"
paracetamol,1,"Panadol paracetamol 160 mg/5 mL jarabe infantil 90 mL","GSK","Panadol",name,"Gsk","paracetamol"
paracetamol,1,"Kitadol paracetamol 120 mg/5 mL jarabe infantil 100 mL","TEVA","Kitadol",name,"Teva","paracetamol"
paracetamol,1,"Tapsin SC paracetamol 1 g 20 sobres polvo para solución oral efervescente","MAVER","Tapsin",name,"Maver","paracetamol"
paracetamol,1,"Dolsom paracetamol 100 mg/mL solución oral para gotas 30 mL","PRATER","Dolsom",name,"Prater","paracetamol"
paracetamol,1,"Tapsin InstaFLU día paracetamol 500 mg pseudoefedrina 60 mg 1 sobre polvo para solución oral 5 g","MAVER","Tapsin",name,"Maver","paracetamol"
paracetamol,1,"Migrax 10 comprimidos recubiertos","SAVAL","",unknown,"Saval",""
paracetamol,1,"Tapsin compuesto DN plus 18 comprimidos recubiertos","MAVER","",unknown,"Maver",""
paracetamol,1,"Tapsin caliente compuesto día polvo para solución oral 5 g","MAVER","",unknown,"Maver",""
paracetamol,1,"Tapsin caliente compuesto noche polvo para solución oral 5 g","MAVER","",unknown,"Maver",""
paracetamol,1,"Trioval día y noche 20 comprimidos","SAVAL","",unknown,"Saval",""
paracetamol,1,"Tramadol Paracetamol 37.5/325 x 30 comprimidos. (Seven Pharma)","Seven Pharma","Tramadol",name,"Seven Pharma","paracetamol"
paracetamol,1,"Paracetamol 500 mg x 80 comprimidos. (Chile)","Laboratorio Chile","",unknown,"Laboratorio Chile","paracetamol"
paracetamol,2,"Paracetamol 500 mg x 16 comprimidos","Chile","",unknown,"Chile","paracetamol"
paracetamol,1,"Paracetamol Infantil 80 mg x 16 comprmidos masticables. (Chile)","Laboratorio Chile","",unknown,"Laboratorio Chile","paracetamol"
paracetamol,1,"Tramadol Paracetamol 37.5/325 x 30 comprimidos. (Laboratorio Chile)","Laboratorio Chile","Tramadol",name,"Laboratorio Chile","paracetamol"
paracetamol,1,"Paracetamol Infantil 125mg x 6 supositorios. (Chile)","Laboratorio Chile","",unknown,"Laboratorio Chile","paracetamol"
paracetamol,1,"Tramadol Paracetamol 37.5/325 x30com Ascend (Cenabast)","Ascend","Tramadol",name,"Ascend","paracetamol"
paracetamol,1,"Dropol Paracetamol infantil gotas 100 mg/ml x 15 ml (Pasteur)","Pasteur","Dropol",name,"Pasteur","paracetamol"
paracetamol,1,"Paracetamol Gotas 100 mg/ml x15ml (Chile)","Laboratorio Chile","",unknown,"Laboratorio Chile","paracetamol"
paracetamol,1,"Paracetamol 100 mg/ml x15ml (Valma)","Valma","",unknown,"Valma","paracetamol"
paracetamol,1,"Paracetamol Solución para Perfusión 1000mg/100ml x 1 Ampolla (B Braun)","B.Braun","",unknown,"B.Braun","paracetamol"
paracetamol,1,"Xumadol Polvo Efervescente 1 gramo x 20 sobres.","ITF-Labomed","",unknown,"ITF-Labomed",""
paracetamol,3,"Winasorb Jarabe 150mg/5ml x 60 ml.","","",unknown,"",""
paracetamol,1,"Xumadol 1 gramo x 20 comprimidos.","ITF-Labomed","",unknown,"ITF-Labomed",""
paracetamol,1,"Geniol Niños 160 mg x 16 comprimidos masticables","Mintlab","",unknown,"Mintlab",""
paracetamol,1,"Kitadol Infantil 120mg/5ml jarabe 60 ml. (Cenabast)","Laboratorio Chile","",unknown,"Laboratorio Chile",""
paracetamol,2,"Kitadol 1 g x 18 comprimidos","LABORATORIO CHILE","",unknown,"Laboratorio Chile",""
paracetamol,1,"Xumadol 1 g x 20 comprimidos","ITF-LABOMET","",unknown,"Itf-Labomet",""
paracetamol,1,"Supracalm 1 g x 20 comprimidos","TECNOFARMA","",unknown,"Tecnofarma",""
paracetamol,1,"Alividol 1000 mg x 20 comprimidos","OPKO","",unknown,"Opko",""
paracetamol,1,"Kitadol 500 mg x 24 comprimidos","LABORATORIO CHILE","",unknown,"Laboratorio Chile",""
paracetamol,1,"Paracetamol 500 mg x 16 comprimidos","Mediven","",unknown,"Mediven","paracetamol"
paracetamol,1,"Tapsin Puro Paracetamol 500 mg x 16 comprimidos","MAVER","Tapsin",name,"Maver","paracetamol"
paracetamol,1,"Tapsin Paracetamol 100 mg/ml Gotas x 15 mL","","Tapsin",name,"","paracetamol"
paracetamol,1,"Gesidol Paracetamol 120mg/5ml Jarabe Infantil 100ml","","Gesidol",name,"","paracetamol"
paracetamol,1,"Kitadol Paracetamol Infantil gotas 100mg 15ml DESCUENTO","","Kitadol",name,"","paracetamol"
paracetamol,2,"Paracetamol gotas 100mg/ml x 15 mL (Cenabast)","","",unknown,"","paracetamol"
paracetamol,2,"Paracetamol inf. suposit. x 6","","",unknown,"","paracetamol"
paracetamol,1,"Tapsin Puro Sin Cafeina Paracetamol 500 mg x 16 Comprimidos","","Tapsin",name,"","paracetamol"
paracetamol,1,"Paracetamol Tramadol 325/37.5mg x 30 Comprimidos Recubiertos","","",unknown,"",""
paracetamol,1,"Tapsin infantil paracetamol 120mg/5ml jarabe 100ml","","Tapsin",name,"","paracetamol"
paracetamol,1,"Gesidol infantil paracetamol 120mg/5mL jarabe 100ml DESCUENTO","","Gesidol",name,"","paracetamol"
paracetamol,1,"Kitadol Paracetamol Infantil Jarabe 100ml","","Kitadol",name,"","paracetamol"
paracetamol,1,"Tramadol Clorhidrato/Paracetamol 37,5-325mg x 30 Comp. Recubiertos","","",unknown,"",""
paracetamol,1,"Paracetamol 1gr x 20 Comprimidos (Hospifarma)","","",unknown,"","paracetamol"
paracetamol,1,"Paracetamol Gesidol 1gr x 20 Comprimidos","","",unknown,"","paracetamol"
paracetamol,2,"Kitadol 500 mg x 24 Comprimidos","","",unknown,"",""
paracetamol,1,"Paracetamol 80 mg x 20 Comprimidos Masticables","","",unknown,"","paracetamol"
paracetamol,1,"Paracetamol Infantil 125 mg x 6 Supositorios","","",unknown,"","paracetamol"
paracetamol,1,"Paracetamol 500 mg SINFLU x 20 Comprimidos","","",unknown,"","paracetamol"
paracetamol,1,"Bufferin Forte Paracetamol 1 G 18 Comprimidos","","Bufferin",name,"","paracetamol"
paracetamol,1,"Paracetamol 1G Dropol Comprimidos Efervecentes Tubo x  10","","",unknown,"","paracetamol"
paracetamol,1,"Paracetamol 1G Dropol Comprimidos Efervecentes Tubo x 20","","",unknown,"","paracetamol"
paracetamol,1,"Gesidol Infantil 120 mg/5 mL x 100 mL Jarabe","","",unknown,"",""
paracetamol,1,"Kitadol 1 g 18 Comprimidos","","",unknown,"",""
paracetamol,1,"Tapsin 1g Efervescente X 20 Sobres","","",unknown,"",""
paracetamol,1,"Panadol Ni&ntilde;os 160mg/5ml Jarabe 90ml","","",unknown,"",""
paracetamol,1,"Panadol Advance 500mg x 48 Comprimidos","","",unknown,"",""
paracetamol,1,"Panadol 80 mg x 20 Comprimidos Masticables","","",unknown,"",""
paracetamol,1,"Panadol Advance 500mg x 12 Comprimidos","","",unknown,"",""
paracetamol,1,"Panadol Ni&ntilde;os 100mg/Ml Gotas 15ml","","",unknown,"",""
paracetamol,1,"Kitadol 160 mg x 16 Comprimidos Masticables","","",unknown,"",""
paracetamol,1,"Kitadol 100 mg/mL x 15 mL Soluci&oacute;n Oral Para Gotas","","",unknown,"",""
paracetamol,1,"Bufferin 500Mg X 12 Comprimidos","","",unknown,"",""
paracetamol,1,"Paracetamol Gotas 100 mg/mL...","","",unknown,"","paracetamol"
paracetamol,1,"Paracetamol Infantil 100...","","",unknown,"","paracetamol"
paracetamol,1,"Paracetamol Infantil Gotas...","","",unknown,"","paracetamol"
paracetamol,1,"Paracetamol/Tramadol...","","",unknown,"",""
paracetamol,1,"Algiafin Jarabe x 60 ml","","",unknown,"",""
paracetamol,1,"Alividol 1000 mg 20...","","",unknown,"",""
paracetamol,1,"Anacin Max 8 Comp","","",unknown,"",""
paracetamol,1,"Brevex 20 comprimidos","","",unknown,"",""
paracetamol,1,"Cortigrip Dia y Noche 15...","","",unknown,"",""
paracetamol,1,"Cronus x 30 comprimidos","","",unknown,"",""
paracetamol,1,"Geniol (paracetamol) 500mg 20 Comprimidos","","Geniol",name,"","paracetamol"
paracetamol,1,"Tapsín Limonada Noche (B) Paracetamol 5g","Tapsin","Tapsin",structured,"","paracetamol"
paracetamol,1,"Tapsin Limonada (B) Paracetamol Día 5g","Tapsin","Tapsin",structured,"","paracetamol"
paracetamol,1,"Kitadol (B) Paracetamol 500mg 24 Comprimidos","Kitadol","Kitadol",structured,"","paracetamol"
paracetamol,1,"Paracetamol (B) 16 Comprimidos","Paracetamol","",unknown,"","paracetamol"
paracetamol,1,"Tapsin Duo (B) Paracetamol / Ibuprofeno 12 Comprimidos Recubiertos","Tapsin","Tapsin",structured,"",""
paracetamol,1,"Tapsí­n M (B) Paracetamol 10 Comprimidos Recubiertos","Tapsin M","Tapsin M",structured,"","paracetamol"
paracetamol,1,"Panadol Advance (R) Paracetamol 500mg 12 Comprimidos Recubiertos","Panadol Advance","Panadol Advance",structured,"","paracetamol"
paracetamol,1,"Kitadol Parcetamol Infantil 16 Comprimidos Masticables","Kitadol Infantil","Kitadol Infantil",structured,"",""
paracetamol,1,"Tapsn (B) Paracetamol 500mg 24 Comprimidos","Tapsin","Tapsin",structured,"","paracetamol"
paracetamol,1,"Gesidol Infantil (B) Paracetamol Gotas 15ml","Gesidol","Gesidol",structured,"","paracetamol"
paracetamol,1,"Kitadol Duo Ibuprofeno / Paracetamol 10 Comprimidos Recubiertos","Kitadol Duo","Kitadol Duo",structured,"",""
paracetamol,1,"Tapsin Forte (B) Paracetamol  20 Comprimidos Recubiertos","Tapsin Forte","Tapsin Forte",structured,"","paracetamol"
paracetamol,1,"Kitadol Parcetamol Infantil Gotas 15ml","Kitadol Infantil","Kitadol Infantil",structured,"",""
paracetamol,1,"Panadol Niños Paracetamol Gotas 15ml","Panadol","Panadol",structured,"","paracetamol"
paracetamol,1,"Tapsin Infantil Gotas (B) Paracetamol 15ml","Tapsin","Tapsin",structured,"","paracetamol"
paracetamol,1,"Xumadol Paracetamol 1g 20 Sobres Efervescentes","Xumadol","Xumadol",structured,"","paracetamol"
paracetamol,1,"Kitadol (B) Paracetamol 1g 18 Comprimidos","Kitadol","Kitadol",structured,"","paracetamol"
paracetamol,1,"Xumadol (B) Paracetamol 1g 20 Comprimidos","Xumadol","Xumadol",structured,"","paracetamol"
paracetamol,1,"Gesidol (B) Paracetamol 1g 20 Comprimidos","Gesidol","Gesidol",structured,"","paracetamol"
paracetamol,1,"Panadol Advance (R) Paracetamol 500mg 48 Comprimidos Recubiertos","Panadol Advance","Panadol Advance",structured,"","paracetamol"
paracetamol,1,"Panadol Niños Paracetamol Jarabe 90ml","Panadol","Panadol",structured,"","paracetamol"
paracetamol,1,"Bufferin (B) Forte Paracetamol 1g 18 Comprimidos","Bufferin","Bufferin",structured,"","paracetamol"
paracetamol,1,"Supracalm (B) Paracetamol 20 Comprimidos","Supracalm","Supracalm",structured,"","paracetamol"
tapsin,1,"Tapsin Paracetamol 100 mg/ml Gotas 15 mL","","Tapsin",name,"","paracetamol"
tapsin,2,"Tapsin Puro Sin Cafeina Paracetamol 500 mg 16 Comprimidos","","Tapsin",name,"","paracetamol"
tapsin,1,"Tapsin 1000 SC Paracetamol 1000 mg 20 Comprimidos Recubiertos","","Tapsin",name,"","paracetamol"
tapsin,2,"Tapsin  Infantil Suspensión  100Ml","","",unknown,"",""
tapsin,1,"Tapsin Nocturno Paracetamol 500 mg 600 Comprimidos","","Tapsin",name,"","paracetamol"
tapsin,1,"Tapsin Periodo Pamabrom 25 mg 12 Comprimidos","","",unknown,"",""
tapsin,1,"Tapsin Analgésico Paracetamol 400 mg 6 Comprimidos","","Tapsin",name,"","paracetamol"
tapsin,1,"Tapsin Nocturno Paracetamol 500 mg 12 Comprimidos","","Tapsin",name,"","paracetamol"
tapsin,1,"Tapsin Insta Flu Polvo Día","","",unknown,"",""
tapsin,1,"Tapsin Insta Flu  Polvo Noche","","",unknown,"",""
tapsin,1,"Tapsin Plus Noche Paracetamol 650 mg Solución Oral 1 Sobre","","Tapsin",name,"","paracetamol"
tapsin,1,"Tapsin Plus Día Paracetamol 650 mg Solución Oral 1 Sobre","","Tapsin",name,"","paracetamol"
tapsin,1,"Tapsin Analgésico Paracetamol 400 mg 12 Comprimidos","","Tapsin",name,"","paracetamol"
tapsin,1,"Tapsin Duo Paracetamol Ibuprofeno 12 Comprimidos Recubiertos","","Tapsin",name,"","paracetamol"
tapsin,1,"Tapsin Niños Paracetamol 160 mg 16 Comprimidos Masticables","","Tapsin",name,"","paracetamol"
tapsin,1,"Tapsin Forte Paracetamol 650 mg 20 Comprimidos Recubiertos","","Tapsin",name,"","paracetamol"
tapsin,1,"Tapsin M Migraña Paracetamol 400 mg Cafeína 33 mg 10 Comprimidos","","Tapsin",name,"","paracetamol"
tapsin,1,"Tapsin Día-Noche Plus Paracetamol 400 mg 18 Comprimidos Recubiertos","","Tapsin",name,"","paracetamol"
tapsin,1,"Tapsin Noche Compuesto Antigripal Paracetamol 400 mg Noscapina 10 mg Clorfenamina 4 mg Polvo para Soluc.Oral 1 Sobre Sabor Limon / Miel / Jengibre","","",unknown,"",""
tapsin,1,"Tapsin Dia Compuesto Antigripal Paracetamol 400 mg Noscapina 10 mg Cafeina 33 mg Polvo para Soluc.Oral  1 Sobre Sabor Limon / Miel / Jengibre","","",unknown,"",""
tapsin,1,"Tapsin InstaFLU DN Paracetamol 500 mg Pseudoefedrina Clorhidrato 60 mg 12+6 Comprimidos","","Tapsin",name,"","paracetamol"
tapsin,1,"Tapsin Forte Paracetamol 650 mg 30 Comprimidos Recibiertos con Tapa De Seguridad Childproof","","Tapsin",name,"","paracetamol"
tapsin,1,"Tapsin Paracetamol 400 mg Cafeina 33 mg 30 Comprimidos con Tapa de Seguridad Childproof","","Tapsin",name,"","paracetamol"
tapsin,1,"Tapsin SC Paracetamol 1000 mg Polvo para Soluc. Oral Efervescente 1 Sobre Sabor Limon","","Tapsin",name,"","paracetamol"
tapsin,1,"Tapsin paracetamol 500 mg 24 comprimidos","MAVER","Tapsin",name,"Maver","paracetamol"
tapsin,1,"Paracetamol 500 mg 16 comprimidos","ANDRÓMACO","",unknown,"Andrómaco","paracetamol"
tapsin,1,"Dropol paracetamol 1 g 20 comprimidos","PASTEUR","Dropol",name,"Pasteur","paracetamol"
tapsin,2,"Tapsin instaFLU DN 18 comprimidos","MAVER","",unknown,"Maver",""
tapsin,1,"Tapsin compuesto DN plus 18 comprimidos recubiertos","MAVER","",unknown,"Maver",""
tapsin,2,"Tapsin caliente compuesto día polvo para solución oral 5 g","MAVER","",unknown,"Maver",""
tapsin,2,"Tapsin Niños 160 mg x 16 comprimidos.","Maver","",unknown,"Maver",""
tapsin,1,"Tapsin InstaFLU noche 1 sobre polvo para solución oral 5 g","MAVER","",unknown,"Maver",""
tapsin,1,"Tapsin caliente compuesto noche polvo para solución oral 5 g","MAVER","",unknown,"Maver",""
tapsin,1,"Tapsin InstaFLU día paracetamol 500 mg pseudoefedrina 60 mg 1 sobre polvo para solución oral 5 g","MAVER","Tapsin",name,"Maver","paracetamol"
tapsin,1,"Tapsin Duo paracetamol 300 mg ibuprofeno 200 mg 12 comprimidos recubiertos","MAVER","Tapsin",name,"Maver","paracetamol"
tapsin,1,"Tapsin SC paracetamol 1 g 20 sobres polvo para solución oral efervescente","MAVER","Tapsin",name,"Maver","paracetamol"
tapsin,1,"Predual 10 comprimidos","MAVER","",unknown,"Maver",""
tapsin,1,"Dolider 10 comprimidos","PASTEUR","",unknown,"Pasteur",""
tapsin,1,"Crevet limonada vitamina C propóleo y zinc 1 sobre 4 g","PRATER","",unknown,"Prater",""
tapsin,1,"Trioval día y noche 20 comprimidos","SAVAL","",unknown,"Saval",""
tapsin,1,"Tapsin Infantil 120mg/5ml jarabe x 100 ml.","Maver","",unknown,"Maver",""
tapsin,2,"Tapsin Pediatrico 100mg/ml gotas x 15 ml.","Maver","",unknown,"Maver",""
tapsin,1,"Tapsin 1000 SC x 20 comprimidos recubiertos.","Maver","",unknown,"Maver",""
tapsin,2,"Tapsin Periodo x 12 comprimidos","MAVER","",unknown,"Maver",""
tapsin,1,"Tapsin Polvo efervescente limon 1g x20 sobres","Maver","",unknown,"Maver",""
tapsin,1,"Tapsin Dia y noche plus x 18 comprimidos.","Maver","",unknown,"Maver",""
tapsin,1,"Tapsin SC puro 500 mg x 24 comprimidos.","Maver","",unknown,"Maver",""
tapsin,1,"Tapsin Plus Caliente Día limonada Antigripal x 5 gramos.","Maver","",unknown,"Maver",""
tapsin,1,"Tapsin Plus limonada noche x5g","Maver","",unknown,"Maver",""
tapsin,1,"Tapsin Duo x 12 comprimidos","Maver","",unknown,"Maver",""
tapsin,1,"Tapsin SC puro 500 mg x 16 comprimidos.","Maver","",unknown,"Maver",""
tapsin,1,"Tapsin Forte x 30 comprimidos","Maver","",unknown,"Maver",""
