query,pharmacy,rawProductName,displayProductName,laboratory,activeIngredient,strength,quantity,unitCountKey,commercialVariantKey,dosageFormClass,combinationKey,matchKey,presentationKey,price,channel,stock,onlineUrl
ambroxol,araucomed,Ambroxol 30mg/5ml Jarabe Adulto 100ml (Seven Pharma),Ambroxol 30mg/5ml Jarabe Adulto 100ml (Seven Pharma),Seven Pharma,ambroxol,30mg,null,null,null,fluid-oral,null,ambroxol|100ml,ambroxol|100ml|bio:unknown|brand:sevenpharma|form:fluid-oral,1200,store,false,https://farmacia.araucomed.com/mucoliticos-y-expectorantes/ambroxol-30mg-5ml-jarabe-adulto-100ml-seven-pharma
ambroxol,farmex,Ambroxol Jarabe Infantil 15 mg / 5 mL x 100 mL,Ambroxol Jarabe Infantil 15 mg / 5 mL x 100 mL,ANDROMACO,ambroxol,15mg,null,null,infantil,fluid-oral,null,ambroxol|100ml|100,ambroxol|100ml|100|bio:unknown|brand:andromaco|var:infantil|form:fluid-oral,1390,store,false,https://farmex.cl/products/ambroxol-jarabe-infantil-15-mg-5-ml-x-100-ml?_pos=8&_psq=ambroxol&_psid=373877236&_ss=e
ambroxol,araucomed,Ambroxol 15mg/5ml jarabe infantil x 100 ml. (Ascend),Ambroxol 15mg/5ml jarabe infantil x 100 ml. (Ascend),Ascend,ambroxol,15mg,null,null,null,fluid-oral,null,ambroxol|100ml|100,ambroxol|100ml|100|bio:unknown|brand:ascend|form:fluid-oral,1490,store,true,https://farmacia.araucomed.com/mucoliticos-y-expectorantes/ambroxol-15mg-5ml-jarabe-infantil-x-100-ml-ascend
ambroxol,araucomed,Ambroxol 30mg/5ml Jarabe Adulto x 100 ml. (Hospifarma),Ambroxol 30mg/5ml Jarabe Adulto x 100 ml. (Hospifarma),Hospifarma,ambroxol,30mg,null,null,null,fluid-oral,null,ambroxol|100ml|100,ambroxol|100ml|100|bio:unknown|brand:hospifarma|form:fluid-oral,1490,store,false,https://farmacia.araucomed.com/mucoliticos-y-expectorantes/ambroxol-30mg-5ml-jarabe-120-ml-hospifarma
ambroxol,farmex,Ambroxol Jarabe Adultos 30 mg / 5 mL x 100 mL,Ambroxol Jarabe Adultos 30 mg / 5 mL x 100 mL,ANDROMACO,ambroxol,30mg,null,null,null,fluid-oral,null,ambroxol|100ml|100,ambroxol|100ml|100|bio:unknown|brand:andromaco|form:fluid-oral,1690,store,false,https://farmex.cl/products/ambroxol-jarabe-adultos-30-mg-5-ml-x-100-ml?_pos=6&_psq=ambroxol&_psid=373877236&_ss=e
ambroxol,ecofarmacias,Ambroxol Infantil 100ml (Andromaco),Ambroxol Infantil 100ml (Andromaco),null,ambroxol,100ml,null,null,infantil,null,null,ambroxol|100ml,ambroxol|100ml|bio:unknown|brand:unknown|var:infantil,1890,store,false,https://www.ecofarmacias.cl/producto/ambroxol-infantil-100ml/
ambroxol,araucomed,Ambroxol 15mg/5ml jarabe infantil x 100 ml. (Mintlab),Ambroxol 15mg/5ml jarabe infantil x 100 ml. (Mintlab),Mintlab,ambroxol,15mg,null,null,null,fluid-oral,null,ambroxol|100ml|100,ambroxol|100ml|100|bio:unknown|brand:mintlab|form:fluid-oral,1990,store,false,https://farmacia.araucomed.com/mucoliticos-y-expectorantes/ambroxol-15mg-5ml-jarabe-100ml-mintlab
ambroxol,araucomed,Ambroxol 30mg/5ml Jarabe Adulto 100 ml. (Mintlab),Ambroxol 30mg/5ml Jarabe Adulto 100 ml. (Mintlab),Mintlab,ambroxol,30mg,null,null,null,fluid-oral,null,ambroxol|100ml,ambroxol|100ml|bio:unknown|brand:mintlab|form:fluid-oral,1990,store,false,https://farmacia.araucomed.com/mucoliticos-y-expectorantes/ambroxol-30mg-5ml-jarabe-100ml-mintlab
ambroxol,araucomed,Ambroxol 30mg/5ml Jarabe Adulto 100ml (Opko),Ambroxol 30mg/5ml Jarabe Adulto 100ml (Opko),Opko,ambroxol,30mg,null,null,null,fluid-oral,null,ambroxol|100ml,ambroxol|100ml|bio:unknown|brand:opko|form:fluid-oral,1990,store,false,https://farmacia.araucomed.com/mucoliticos-y-expectorantes/ambroxol-30mg-5ml-jarabe-100ml-opko
ambroxol,araucomed,Mintamox Adulto 30mg/5ml jarabe 100ml,Mintamox Adulto 30mg/5ml jarabe 100ml,Mintlab,mintamox,30mg,null,null,null,fluid-oral,null,mintamox|100ml,mintamox|100ml|bio:unknown|brand:mintlab|form:fluid-oral,2490,store,false,https://farmacia.araucomed.com/mucoliticos-y-expectorantes/mintamox-adulto-30mg-5ml-jarabe-100ml
ambroxol,araucomed,Mintamox Infantil 15mg/5ml jarabe 100ml,Mintamox Infantil 15mg/5ml jarabe 100ml,Mintlab,mintamox,15mg,null,null,infantil,fluid-oral,null,mintamox|100ml,mintamox|100ml|bio:unknown|brand:mintlab|var:infantil|form:fluid-oral,2490,store,false,https://farmacia.araucomed.com/mucoliticos-y-expectorantes/mintamox-infantil-15mg-5ml-jarabe-100ml
ambroxol,ecofarmacias,Tocalm Ambroxol Jarabe Adulto 100 mL (Prater),Tocalm Ambroxol Jarabe Adulto 100 mL (Prater),null,tocalm,100ml,null,null,ambroxol,fluid-oral,null,tocalm|100ml,tocalm|100ml|bio:unknown|brand:unknown|var:ambroxol|form:fluid-oral,2980,store,false,https://www.ecofarmacias.cl/producto/tocalm-ambroxol-jarabe-adulto-100-ml-prater/
ambroxol,cruz-verde,Tocalm Adulto Ambroxol 30 mg/5mL Jarabe 100 mL,Tocalm Ambroxol Jarabe Adulto 100 mL (Prater),null,tocalm,30mg,null,null,ambroxol,fluid-oral,null,tocalm|100ml,tocalm|100ml|bio:unknown|brand:unknown|var:ambroxol|form:fluid-oral,3990,store,true,https://www.cruzverde.cl/tocalm-adulto-ambroxol-30-mg-5ml-jarabe-100-ml/111093.html
ambroxol,araucomed,Tocalm Adulto 30mg/5ml jarabe 100 ml.,Tocalm Adulto 30mg/5ml jarabe 100 ml.,null,tocalm,30mg,null,null,null,fluid-oral,null,tocalm|100ml,tocalm|100ml|bio:unknown|brand:unknown|form:fluid-oral,2990,store,false,https://farmacia.araucomed.com/mucoliticos-y-expectorantes/tocalm-adulto-30mg-5ml-jarabe-100ml
ambroxol,ecofarmacias,Pazbronq Ambroxol Clorhidrato 30 Mg/ 5 Ml Jarabe 100 Ml,Pazbronq Ambroxol Clorhidrato 30 Mg/ 5 Ml Jarabe 100 Ml,null,pazbronq,30mg,null,null,ambroxol,fluid-oral,null,pazbronq|100ml,pazbronq|100ml|bio:unknown|brand:unknown|var:ambroxol|form:fluid-oral,2990,store,false,https://www.ecofarmacias.cl/producto/pazbronq-ambroxol-clorhidrato-30-mg-5-ml-jarabe-100-ml/
ambroxol,easyfarma,Ambroxol Pediatrico 15mg/5...,Ambroxol Pediatrico 15mg/5...,null,ambroxol,15mg,null,null,infantil,null,null,ambroxol|15mg,ambroxol|15mg|bio:unknown|brand:ascend|var:infantil,2990,store,true,https://nuevo.easyfarma.cl/105165-ambroxol-pediatrico-15mg-5-ml-100-ml-ascend.html
ambroxol,easyfarma,Amrodil 30 Mg/5ml 100 Ml,Amrodil 30 Mg/5ml 100 Ml,null,amrodil,30mg,null,null,null,null,null,amrodil|100ml,amrodil|100ml|bio:unknown|brand:unknown,2990,store,true,https://nuevo.easyfarma.cl/105664-amrodil-30-mg-5ml-100-ml.html
ambroxol,salcobrand,Ambroxol 30mg/5ml Jarabe 100ml,Ambroxol 30mg/5ml Jarabe 100ml,Ambroxol,ambroxol,30mg,null,null,null,fluid-oral,null,ambroxol|100ml,ambroxol|100ml|bio:unknown|brand:ambroxol|form:fluid-oral,3255,online,true,https://salcobrand.cl/products/ambroxol-30mg-5ml-jaraabe-100ml?default_sku=1763358
ambroxol,ahumada,Tocalm Adulto 30 mg/5 mL x 100 mL Jarabe,Tocalm Adulto 30 mg/5 mL x 100 mL Jarabe,null,tocalm,30mg,null,null,null,fluid-oral,null,tocalm|100ml|100,tocalm|100ml|100|bio:true|brand:unknown|form:fluid-oral,3292,cmr,true,https://www.farmaciasahumada.cl/tocalm-adulto-30-mg-5-ml-x-100-ml-jarabe-47395.html
ambroxol,dr-simi,Tocalm ambroxol 15 mg/5 mL jarabe pediátrico 100 mL,Tocalm ambroxol 15 mg/5 mL jarabe pediátrico 100 mL,PRATER,tocalm,15mg,null,null,ambroxol,fluid-oral,null,tocalm|100ml,tocalm|100ml|bio:true|brand:prater|var:ambroxol|form:fluid-oral,3400,store,true,https://www.drsimi.cl/tocalm-15-mg-5ml-jarabe-infantil-100-ml/p
ambroxol,araucomed,Muxol Pediátrico 15mg/5ml jarabe x 100 ml.,Muxol Pediátrico 15mg/5ml jarabe x 100 ml.,null,muxol,15mg,null,null,infantil,fluid-oral,null,muxol|100ml|100,muxol|100ml|100|bio:unknown|brand:unknown|var:infantil|form:fluid-oral,3490,store,true,https://farmacia.araucomed.com/mucoliticos-y-expectorantes/muxol-pediatrico-15mg-5ml-jarabe-100ml
ambroxol,cruz-verde,Mintamox Pediatrico Ambroxol 15 mg/5mL Jarabe 100 mL,Mintamox Pediatrico Ambroxol 15 mg/5mL Jarabe 100 mL,null,mintamox,15mg,null,null,infantil,fluid-oral,null,mintamox|100ml,mintamox|100ml|bio:unknown|brand:unknown|var:infantil|form:fluid-oral,3690,store,true,https://www.cruzverde.cl/mintamox-pediatrico-ambroxol-15-mg-5ml-jarabe-100-ml/193055.html
ambroxol,ahumada,Tocalm Pediatrico 15 mg/5 mL x 100 mL Jarabe,Tocalm Pediatrico 15 mg/5 mL x 100 mL Jarabe,null,tocalm,15mg,null,null,infantil,fluid-oral,null,tocalm|100ml|100,tocalm|100ml|100|bio:true|brand:unknown|var:infantil|form:fluid-oral,3787,cmr,true,https://www.farmaciasahumada.cl/tocalm-pediatrico-15-mg-5-ml-x-100-ml-jarabe-47393.html
ambroxol,cruz-verde,Mintamox Adulto Ambroxol 30 mg / 5 mL Jarabe 100 mL,Mintamox Adulto Ambroxol 30 mg / 5 mL Jarabe 100 mL,null,mintamox,30mg,null,null,ambroxol,fluid-oral,null,mintamox|100ml,mintamox|100ml|bio:unknown|brand:unknown|var:ambroxol|form:fluid-oral,3790,store,true,https://www.cruzverde.cl/mintamox-adulto-ambroxol-30-mg-5-ml-jarabe-100-ml/193049.html
ambroxol,salcobrand,Muxol Adulto Ambroxol Jarabe 100ml,Muxol Adulto Ambroxol Jarabe 100ml,Muxol,muxol,100ml,null,null,ambroxol,fluid-oral,null,muxol|100ml,muxol|100ml|bio:unknown|brand:muxol|var:ambroxol|form:fluid-oral,3921,sbpay,true,https://salcobrand.cl/products/muxol-adulto-ambroxol-jarabe-100ml?default_sku=2979230
ambroxol,araucomed,Muxol Adulto 30mg/5ml jarabe 100ml,Muxol Adulto 30mg/5ml jarabe 100ml,null,muxol,30mg,null,null,null,fluid-oral,null,muxol|100ml,muxol|100ml|bio:unknown|brand:unknown|form:fluid-oral,3990,store,true,https://farmacia.araucomed.com/mucoliticos-y-expectorantes/muxol-adulto-30mg-5ml-jarabe-100ml
ambroxol,sermecoop,Muxol (ambroxol) 15mg/5ml Jarabe 100ml,Muxol Adulto 30mg/5ml jarabe 100ml,null,muxol,15mg,null,null,null,fluid-oral,null,muxol|100ml,muxol|100ml|bio:unknown|brand:unknown|form:fluid-oral,4890,store,true,https://www.farmaciasermecoop.cl/index.php/online/detalleproducto?p_=16812&d_=1
ambroxol,cruz-verde,Muxol Jarabe Adulto Ambroxol 600 mg / 100 ml,Muxol Jarabe Adulto Ambroxol 600 mg / 100 ml,null,muxol,600mg,null,null,ambroxol,fluid-oral,null,muxol|100ml,muxol|100ml|bio:unknown|brand:unknown|var:ambroxol|form:fluid-oral,4590,store,true,https://www.cruzverde.cl/muxol-jarabe-adulto-ambroxol-600-mg-100-ml/6179.html
ambroxol,ahumada,MUXOL JARABE ADULTO Ambroxol Clorhidrato 600 mg 100 ml,MUXOL JARABE ADULTO Ambroxol Clorhidrato 600 mg 100 ml,null,muxol,600mg,null,null,ambroxol,fluid-oral,null,muxol|100ml,muxol|100ml|bio:true|brand:unknown|var:ambroxol|form:fluid-oral,4590,store,true,https://www.farmaciasahumada.cl/muxol-jarabe-adulto-ambroxol-clorhidrato-600-mg-100-ml-9257.html
ambroxol,araucomed,Broncot 15mg/5ml Jarabe x 120 ml.,Broncot 15mg/5ml Jarabe x 120 ml.,null,broncot,15mg,null,null,null,fluid-oral,null,broncot|120ml|120,broncot|120ml|120|bio:unknown|brand:unknown|form:fluid-oral,4990,store,true,https://farmacia.araucomed.com/mucoliticos-y-expectorantes/broncot-gft-15mg-5ml-sin-azucar-120ml
ambroxol,farmex,Muxol Jarabe adulto Ambroxol 30 mg / 5 mL x 100 mL,Muxol Jarabe adulto Ambroxol 30 mg / 5 mL x 100 mL,EUROLAB,muxol,30mg,null,null,ambroxol,fluid-oral,null,muxol|100ml|100,muxol|100ml|100|bio:unknown|brand:eurolab|var:ambroxol|form:fluid-oral,5190,store,true,https://farmex.cl/products/muxol-jarabe-adulto-ambroxol?_pos=1&_psq=ambroxol&_psid=373877236&_ss=e
ambroxol,easyfarma,Muxol Adulto Jarabe...,Muxol Adulto Jarabe...,null,muxol,null,null,null,null,fluid-oral,null,muxol,muxol|bio:unknown|brand:unknown|form:fluid-oral,5490,store,true,https://nuevo.easyfarma.cl/25414-muxol-adulto-jarabe-x-100ml.html
ambroxol,easyfarma,Muxol Pediatrico Jarabe x...,Muxol Pediatrico Jarabe x...,null,muxol,null,null,null,infantil,fluid-oral,null,muxol,muxol|bio:unknown|brand:unknown|var:infantil|form:fluid-oral,5490,store,true,https://nuevo.easyfarma.cl/25413-muxol-pediatrico-jarabe-x-100ml.html
ambroxol,salcobrand,Muxol Pediátrico Ambroxol Jarabe 100ml,Muxol Pediátrico Ambroxol Jarabe 100ml,Muxol Pediatrico,muxol,100ml,null,null,infantil,fluid-oral,null,muxol|100ml,muxol|100ml|bio:unknown|brand:muxolpediatrico|var:infantil|form:fluid-oral,5829,sbpay,true,https://salcobrand.cl/products/muxol-pediatrico-ambroxol-jarabe-100ml?default_sku=2979220
ambroxol,araucomed,Broncot Forte 30mg/5ml sin azucar 120 ml.,Broncot Forte 30mg/5ml sin azucar 120 ml.,null,broncot,30mg,null,null,forte,null,null,broncot|120ml,broncot|120ml|bio:unknown|brand:unknown|var:forte,5990,store,true,https://farmacia.araucomed.com/mucoliticos-y-expectorantes/broncot-gft-forte-30mg-5ml-sin-azucar-120ml
ambroxol,cruz-verde,Muxol Jarabe Pediátrico Ambroxol 300 mg / 100 ml,Muxol Jarabe Pediátrico Ambroxol 300 mg / 100 ml,null,muxol,300mg,null,null,infantil,fluid-oral,null,muxol|100ml,muxol|100ml|bio:unknown|brand:unknown|var:infantil|form:fluid-oral,6190,store,true,https://www.cruzverde.cl/muxol-jarabe-pediatrico-ambroxol-300-mg-100-ml/6178.html
ambroxol,ahumada,Muxol Jarabe Pediátrico Ambroxol Clorhidrato 300 mg 100 ml,Muxol Jarabe Pediátrico Ambroxol Clorhidrato 300 mg 100 ml,null,muxol,300mg,null,null,infantil,fluid-oral,null,muxol|100ml,muxol|100ml|bio:true|brand:unknown|var:infantil|form:fluid-oral,6190,store,true,https://www.farmaciasahumada.cl/muxol-jarabe-pediatrico-ambroxol-clorhidrato-300-mg-100-ml-9166.html
ambroxol,araucomed,"Broncot 7,5mg/ml gotas x 30 ml.","Broncot 7,5mg/ml gotas x 30 ml.",null,broncot,7.5mg,null,null,null,fluid-oral,null,broncot|30ml|30,broncot|30ml|30|bio:unknown|brand:unknown|form:fluid-oral,6490,store,false,https://farmacia.araucomed.com/mucoliticos-y-expectorantes/broncot-75mg-ml-gotas-30ml
ambroxol,ahumada,Broncot Fte G.F.T. S/Azu. 30mg/5ml 120ml,Broncot Fte G.F.T. S/Azu. 30mg/5ml 120ml,null,broncot,30mg,null,null,fte,null,null,broncot|120ml,broncot|120ml|bio:unknown|brand:unknown|var:fte,7807,cmr,true,https://www.farmaciasahumada.cl/broncot-fte-g.f.t.-s-azu.-30mg-5ml-120ml-50483.html
ambroxol,easyfarma,"Broncot Gotas 7,5 mg/ml x...","Broncot Gotas 7,5 mg/ml x...",null,broncot,7.5mg,null,null,null,fluid-oral,null,broncot|7.5mg,broncot|7.5mg|bio:unknown|brand:unknown|form:fluid-oral,7990,store,true,https://nuevo.easyfarma.cl/26341-broncot-gotas-x-30ml.html
ambroxol,salcobrand,Broncot Ambroxol 30mg/5ml 120ml,Broncot Ambroxol 30mg/5ml 120ml,Broncot,broncot,30mg,null,null,ambroxol,null,null,broncot|120ml,broncot|120ml|bio:unknown|brand:broncot|var:ambroxol,8095,online,true,https://salcobrand.cl/products/broncot-ambroxol-30mg-5ml-120ml?default_sku=2830326
ambroxol,cruz-verde,Mucosolvan-Dual Infantil 120Ml,Mucosolvan-Dual Infantil 120Ml,null,mucosolvandual,120ml,null,null,infantil,null,null,mucosolvandual|120ml,mucosolvandual|120ml|bio:unknown|brand:unknown|var:infantil,8290,store,false,https://www.cruzverde.cl/mucosolvan-dual-infantil-120ml/65002.html
ambroxol,easyfarma,Broncot Pediatrico GFT...,Broncot Pediatrico GFT...,null,broncot,null,null,null,infantil,null,null,broncot,broncot|bio:unknown|brand:unknown|var:infantil,8990,store,true,https://nuevo.easyfarma.cl/24773-broncot-gft-jarabe.html
ambroxol,ahumada,Broncot GFT 15 mg/5 mL x 120 mL Jarabe,Broncot GFT 15 mg/5 mL x 120 mL Jarabe,null,broncot,15mg,null,null,gft,fluid-oral,null,broncot|120ml|120,broncot|120ml|120|bio:unknown|brand:unknown|var:gft|form:fluid-oral,9427,cmr,true,https://www.farmaciasahumada.cl/broncot-gft-15-mg-5-ml-x-120-ml-jarabe-50485.html
ambroxol,salcobrand,Muxol Ambroxol 20 Comprimidos,Muxol Ambroxol 20 Comprimidos,Muxol,muxol,null,20,20,ambroxol,solid-oral,null,muxol|20,muxol|20|bio:unknown|brand:muxol|var:ambroxol|form:solid-oral,10031,online,true,https://salcobrand.cl/products/muxol-ambroxol-20-comprimidos?default_sku=2979200
ambroxol,cruz-verde,Muxol Ambroxol 30 mg 20 Comprimidos,Muxol Ambroxol 30 mg 20 Comprimidos,null,muxol,30mg,20,20,ambroxol,solid-oral,null,muxol|30mg|20,muxol|30mg|20|bio:unknown|brand:unknown|var:ambroxol|form:solid-oral,11190,store,true,https://www.cruzverde.cl/muxol-ambroxol-30-mg-20-comprimidos/6176.html
ambroxol,ahumada,Broncot 7.5 mg/ml Gotas Fco. 30ml,Broncot 7.5 mg/ml Gotas Fco. 30ml,null,broncot,7.5mg,null,null,null,fluid-oral,null,broncot|30ml,broncot|30ml|bio:unknown|brand:unknown|form:fluid-oral,13402,cmr,true,https://www.farmaciasahumada.cl/broncot-7.5-mg-ml-gotas-fco.-30ml-4499.html
ambroxol,cruz-verde,Broncot GFT Pediatrico Ambroxol 15 mg/5mL Jarabe 120 mL,Broncot GFT Pediatrico Ambroxol 15 mg/5mL Jarabe 120 mL,null,broncot,15mg,null,null,gft,fluid-oral,null,broncot|120ml,broncot|120ml|bio:unknown|brand:unknown|var:gft|form:fluid-oral,13540,store,true,https://www.cruzverde.cl/broncot-gft-pediatrico-ambroxol-15-mg-5ml-jarabe-120-ml/256478.html
ambroxol,salcobrand,Broncot Ambroxol Clorhidrato 7.5mg/ml Gotas 30ml,Broncot Ambroxol Clorhidrato 7.5mg/ml Gotas 30ml,Broncot,broncot,7.5mg,null,null,ambroxol,fluid-oral,null,broncot|30ml,broncot|30ml|bio:unknown|brand:broncot|var:ambroxol|form:fluid-oral,15311,online,true,https://salcobrand.cl/products/broncot-ambroxol-clorhidrato-7-5mg-ml-gotas-30ml?default_sku=2836255
ambroxol,cruz-verde,"Broncot Ambroxol 7,5 mg/mL Gotas 30 mL","Broncot Ambroxol 7,5 mg/mL Gotas 30 mL",null,broncot,7.5mg,null,null,ambroxol,fluid-oral,null,broncot|30ml,broncot|30ml|bio:unknown|brand:unknown|var:ambroxol|form:fluid-oral,16990,store,true,https://www.cruzverde.cl/broncot-ambroxol-7-5-mg-ml-gotas-30-ml/4081.html
amoxicilina suspension,sermecoop,Amoxicilina 250 Mg/5 Ml Jarabe X 60 Ml,Amoxicilina 250 Mg/5 Ml Jarabe X 60 Ml,null,amoxicilina,250mg,null,null,null,fluid-oral,null,amoxicilina|60ml|60,amoxicilina|60ml|60|bio:unknown|brand:unknown|form:fluid-oral,1390,store,false,https://www.farmaciasermecoop.cl/index.php/online/detalleproducto?p_=19997&d_=1
amoxicilina suspension,sermecoop,Amoxicilina 250mg/5ml Suspensión Oral 60ml,Amoxicilina 250mg/5ml Jarabe 60ml,Amoxicilina,amoxicilina,250mg,null,null,null,fluid-oral,null,amoxicilina|60ml,amoxicilina|60ml|bio:unknown|brand:unknown|form:fluid-oral,1590,store,false,https://www.farmaciasermecoop.cl/index.php/online/detalleproducto?p_=1713&d_=1
amoxicilina suspension,ahumada,Amoxicilina 250 mg/5 mL susp. Frasco 60 mL,Amoxicilina 250mg/5ml Jarabe 60ml,Amoxicilina,amoxicilina,250mg,null,null,null,fluid-oral,null,amoxicilina|60ml,amoxicilina|60ml|bio:unknown|brand:unknown|form:fluid-oral,2022,store,true,https://www.farmaciasahumada.cl/amoxicilina-250-mg-5-ml-susp.-frasco-60-ml-94434.html
amoxicilina suspension,salcobrand,Amoxicilina 250mg/5ml Jarabe 60ml,Amoxicilina 250mg/5ml Jarabe 60ml,Amoxicilina,amoxicilina,250mg,null,null,null,fluid-oral,null,amoxicilina|60ml,amoxicilina|60ml|bio:unknown|brand:unknown|form:fluid-oral,2815,online,true,https://salcobrand.cl/products/amoxicilina-250mg-5ml-jarabe-60ml?default_sku=590259
amoxicilina suspension,cruz-verde,Amoxicilina 250 mg/5mL Jarabe 60 mL,Amoxicilina 250mg/5ml Jarabe 60ml,Amoxicilina,amoxicilina,250mg,null,null,null,fluid-oral,null,amoxicilina|60ml,amoxicilina|60ml|bio:unknown|brand:unknown|form:fluid-oral,3290,store,true,https://www.cruzverde.cl/amoxicilina-250-mg-5ml-jarabe-60-ml/199013.html
amoxicilina suspension,dr-simi,Amoxicilina 250 mg/5 mL polvo para suspensión oral 60 mL,Amoxicilina 250 mg/5 mL polvo para suspensión oral 60 mL,HOSPIFARMA,amoxicilina,250mg,null,null,null,fluid-oral,null,amoxicilina|60ml,amoxicilina|60ml|bio:false|brand:hospifarma|form:fluid-oral,2200,store,true,https://www.drsimi.cl/amoxicilina-250-mg-5ml-suspension-60-ml/p
amoxicilina suspension,dr-simi,Amoxicilina 500 mg/5 mL polvo para suspensión oral 60 mL,Amoxicilina 500 mg/5 mL polvo para suspensión oral 60 mL,OPKO,amoxicilina,500mg,null,null,null,fluid-oral,null,amoxicilina|60ml,amoxicilina|60ml|bio:false|brand:opko|form:fluid-oral,2400,store,true,https://www.drsimi.cl/amoxicilina-500-mg-5ml-suspension-60-ml/p
amoxicilina suspension,ecofarmacias,"Amoxicilina / Ácido Clavulánico 250/62,5 Polvo Para Suspensión Oral","Amoxicilina / Ácido Clavulánico 250/62,5 Polvo Para Suspensión Oral",null,amoxicilina,null,null,null,null,fluid-oral,acido,amoxicilina,amoxicilina|bio:unknown|brand:unknown|combo:acido|form:fluid-oral,2690,store,false,https://www.ecofarmacias.cl/producto/amoxicilina-acido-clavulanico-250-625-polvo-para-suspension-oral/
