key,pharmacy,category,categoryName,categoryWhy,rawName,discriminator,ingredients,negatedComponents,declaredComponentCount,isAssociation,isComplete,concentrationKind,dosageForm,route,pharmaceuticalUnit,conceptOutcome,unknownAxes,mintableIfIngredientKnown,queries,url
ecofarmacias|https://comparafarma-api.vercel.app/api/go?slug=ecofarmacias&matchkey=tocalm%7c100ml&url=https%3a%2f%2fwww.ecofarmacias.cl%2fproducto%2ftocalm-ambroxol-jarabe-adulto-100-ml-prater%2f&cfmid=cfm-001430,ecofarmacias,G,AMBIGUOUS_AGAINST_REGISTRY,"más de un concepto candidato en el registro, sin desempate",Tocalm Ambroxol Jarabe Adulto 100 mL (Prater),,ambroxol,,1,false,true,absent,liquido-oral,oral,,ambiguous,conc+unit,false,ambroxol+ambroxol 30mg+ambroxol 30mg/5ml+ambroxol 30mg/5ml jarabe 100ml,https://comparafarma-api.vercel.app/api/go?slug=ecofarmacias&matchKey=tocalm%7C100ml&url=https%3A%2F%2Fwww.ecofarmacias.cl%2Fproducto%2Ftocalm-ambroxol-jarabe-adulto-100-ml-prater%2F&cfmId=CFM-001430
easyfarma|https://comparafarma-api.vercel.app/api/go?slug=easyfarma&matchkey=ambroxol%7c15mg&url=https%3a%2f%2fnuevo.easyfarma.cl%2f105165-ambroxol-pediatrico-15mg-5-ml-100-ml-ascend.html&cfmid=cfm-001429,easyfarma,H,TRUNCATED_SOURCE_NAME,la fuente entregó el nombre cortado,Ambroxol Pediatrico 15mg/5...,,ambroxol,,1,false,true,mass-only,,,,unresolved,form+route+unit,false,ambroxol+ambroxol 30mg+ambroxol 30mg/5ml+ambroxol 30mg/5ml jarabe 100ml,https://comparafarma-api.vercel.app/api/go?slug=easyfarma&matchKey=ambroxol%7C15mg&url=https%3A%2F%2Fnuevo.easyfarma.cl%2F105165-ambroxol-pediatrico-15mg-5-ml-100-ml-ascend.html&cfmId=CFM-001429
salcobrand|https://comparafarma-api.vercel.app/api/go?slug=salcobrand&matchkey=muxol%7c100ml&url=https%3a%2f%2fsalcobrand.cl%2fproducts%2fmuxol-adulto-ambroxol-jarabe-100ml%3fdefault_sku%3d2979230&cfmid=cfm-000997,salcobrand,G,AMBIGUOUS_AGAINST_REGISTRY,"más de un concepto candidato en el registro, sin desempate",Muxol Adulto Ambroxol Jarabe 100ml,,ambroxol,,1,false,true,absent,liquido-oral,oral,,ambiguous,conc+unit,false,ambroxol+ambroxol 30mg+ambroxol 30mg/5ml+ambroxol 30mg/5ml jarabe 100ml,https://comparafarma-api.vercel.app/api/go?slug=salcobrand&matchKey=muxol%7C100ml&url=https%3A%2F%2Fsalcobrand.cl%2Fproducts%2Fmuxol-adulto-ambroxol-jarabe-100ml%3Fdefault_sku%3D2979230&cfmId=CFM-000997
ahumada|https://comparafarma-api.vercel.app/api/go?slug=ahumada&matchkey=tocalm%7c100ml%7c100&url=https%3a%2f%2fwww.farmaciasahumada.cl%2ftocalm-pediatrico-15-mg-5-ml-x-100-ml-jarabe-47393.html&cfmid=cfm-001435,ahumada,C,BRAND_ONLY_NAME_NO_MOLECULE_IN_TEXT,"el nombre solo trae cabecera comercial, ninguna molécula escrita",Tocalm Pediatrico 15 mg/5 mL x 100 mL Jarabe,tocalm,,,0,false,false,ratio,liquido-oral,oral,,unresolved,ing+unit,true,ambroxol+ambroxol 30mg+ambroxol 30mg/5ml+ambroxol 30mg/5ml jarabe 100ml,https://comparafarma-api.vercel.app/api/go?slug=ahumada&matchKey=tocalm%7C100ml%7C100&url=https%3A%2F%2Fwww.farmaciasahumada.cl%2Ftocalm-pediatrico-15-mg-5-ml-x-100-ml-jarabe-47393.html&cfmId=CFM-001435
ahumada|https://comparafarma-api.vercel.app/api/go?slug=ahumada&matchkey=muxol%7c100ml&url=https%3a%2f%2fwww.farmaciasahumada.cl%2fmuxol-jarabe-adulto-ambroxol-clorhidrato-600-mg-100-ml-9257.html&cfmid=cfm-000997,ahumada,E,CONCENTRATION_MASS_ONLY_ON_NON_DISCRETE_FORM,"masa absoluta en forma liquido-oral, no es concentración completa",MUXOL JARABE ADULTO Ambroxol Clorhidrato 600 mg 100 ml,,ambroxol,,1,false,true,mass-only,liquido-oral,oral,,unresolved,unit,false,ambroxol+ambroxol 30mg+ambroxol 30mg/5ml+ambroxol 30mg/5ml jarabe 100ml,https://comparafarma-api.vercel.app/api/go?slug=ahumada&matchKey=muxol%7C100ml&url=https%3A%2F%2Fwww.farmaciasahumada.cl%2Fmuxol-jarabe-adulto-ambroxol-clorhidrato-600-mg-100-ml-9257.html&cfmId=CFM-000997
salcobrand|https://comparafarma-api.vercel.app/api/go?slug=salcobrand&matchkey=muxol%7c100ml&url=https%3a%2f%2fsalcobrand.cl%2fproducts%2fmuxol-pediatrico-ambroxol-jarabe-100ml%3fdefault_sku%3d2979220&cfmid=cfm-000997,salcobrand,G,AMBIGUOUS_AGAINST_REGISTRY,"más de un concepto candidato en el registro, sin desempate",Muxol Pediátrico Ambroxol Jarabe 100ml,,ambroxol,,1,false,true,absent,liquido-oral,oral,,ambiguous,conc+unit,false,ambroxol+ambroxol 30mg+ambroxol 30mg/5ml+ambroxol 30mg/5ml jarabe 100ml,https://comparafarma-api.vercel.app/api/go?slug=salcobrand&matchKey=muxol%7C100ml&url=https%3A%2F%2Fsalcobrand.cl%2Fproducts%2Fmuxol-pediatrico-ambroxol-jarabe-100ml%3Fdefault_sku%3D2979220&cfmId=CFM-000997
ahumada|https://comparafarma-api.vercel.app/api/go?slug=ahumada&matchkey=muxol%7c100ml&url=https%3a%2f%2fwww.farmaciasahumada.cl%2fmuxol-jarabe-pediatrico-ambroxol-clorhidrato-300-mg-100-ml-9166.html&cfmid=cfm-000997,ahumada,E,CONCENTRATION_MASS_ONLY_ON_NON_DISCRETE_FORM,"masa absoluta en forma liquido-oral, no es concentración completa",Muxol Jarabe Pediátrico Ambroxol Clorhidrato 300 mg 100 ml,,ambroxol,,1,false,true,mass-only,liquido-oral,oral,,unresolved,unit,false,ambroxol+ambroxol 30mg+ambroxol 30mg/5ml+ambroxol 30mg/5ml jarabe 100ml,https://comparafarma-api.vercel.app/api/go?slug=ahumada&matchKey=muxol%7C100ml&url=https%3A%2F%2Fwww.farmaciasahumada.cl%2Fmuxol-jarabe-pediatrico-ambroxol-clorhidrato-300-mg-100-ml-9166.html&cfmId=CFM-000997
farmex|https://comparafarma-api.vercel.app/api/go?slug=farmex&matchkey=muxol%7c30mg%7c20&url=https%3a%2f%2ffarmex.cl%2fproducts%2fmuxol-30-mg-x-20-comprimidos-5%3f_pos%3d10%26_psq%3dambroxol%26_psid%3db91d4d71c%26_ss%3de&cfmid=cfm-001437,farmex,C,BRAND_ONLY_NAME_NO_MOLECULE_IN_TEXT,"el nombre solo trae cabecera comercial, ninguna molécula escrita",Muxol 30 mg x 20 comprimidos,muxol,,,0,false,false,mass-only,comprimido,oral,comprimido,unresolved,ing,true,ambroxol+ambroxol 30mg+ambroxol 30mg/5ml+ambroxol 30mg/5ml jarabe 100ml,https://comparafarma-api.vercel.app/api/go?slug=farmex&matchKey=muxol%7C30mg%7C20&url=https%3A%2F%2Ffarmex.cl%2Fproducts%2Fmuxol-30-mg-x-20-comprimidos-5%3F_pos%3D10%26_psq%3Dambroxol%26_psid%3Db91d4d71c%26_ss%3De&cfmId=CFM-001437
easyfarma|https://comparafarma-api.vercel.app/api/go?slug=easyfarma&matchkey=broncot%7c7.5mg&url=https%3a%2f%2fnuevo.easyfarma.cl%2f26341-broncot-gotas-x-30ml.html&cfmid=cfm-001438,easyfarma,H,TRUNCATED_SOURCE_NAME,la fuente entregó el nombre cortado,"Broncot Gotas 7,5 mg/ml x...",broncot,,,0,false,false,ratio,liquido-oral,oral,,unresolved,ing+unit,true,ambroxol+ambroxol 30mg+ambroxol 30mg/5ml+ambroxol 30mg/5ml jarabe 100ml,https://comparafarma-api.vercel.app/api/go?slug=easyfarma&matchKey=broncot%7C7.5mg&url=https%3A%2F%2Fnuevo.easyfarma.cl%2F26341-broncot-gotas-x-30ml.html&cfmId=CFM-001438
cruz-verde|https://comparafarma-api.vercel.app/api/go?slug=cruz-verde&matchkey=mucosolvandual%7c120ml&url=https%3a%2f%2fwww.cruzverde.cl%2fmucosolvan-dual-infantil-120ml%2f65002.html&cfmid=cfm-000990,cruz-verde,C,BRAND_ONLY_NAME_NO_MOLECULE_IN_TEXT,"el nombre solo trae cabecera comercial, ninguna molécula escrita",Mucosolvan-Dual Infantil 120Ml,mucosolvandual,,,0,false,false,absent,,,,unresolved,ing+conc+form+route+unit,false,ambroxol+ambroxol 30mg+ambroxol 30mg/5ml+ambroxol 30mg/5ml jarabe 100ml,https://comparafarma-api.vercel.app/api/go?slug=cruz-verde&matchKey=mucosolvandual%7C120ml&url=https%3A%2F%2Fwww.cruzverde.cl%2Fmucosolvan-dual-infantil-120ml%2F65002.html&cfmId=CFM-000990
ahumada|https://comparafarma-api.vercel.app/api/go?slug=ahumada&matchkey=broncot%7c120ml%7c120&url=https%3a%2f%2fwww.farmaciasahumada.cl%2fbroncot-gft-15-mg-5-ml-x-120-ml-jarabe-50485.html&cfmid=cfm-001432,ahumada,C,BRAND_ONLY_NAME_NO_MOLECULE_IN_TEXT,"el nombre solo trae cabecera comercial, ninguna molécula escrita",Broncot GFT 15 mg/5 mL x 120 mL Jarabe,broncot,,,0,false,false,ratio,liquido-oral,oral,,unresolved,ing+unit,true,ambroxol+ambroxol 30mg+ambroxol 30mg/5ml+ambroxol 30mg/5ml jarabe 100ml,https://comparafarma-api.vercel.app/api/go?slug=ahumada&matchKey=broncot%7C120ml%7C120&url=https%3A%2F%2Fwww.farmaciasahumada.cl%2Fbroncot-gft-15-mg-5-ml-x-120-ml-jarabe-50485.html&cfmId=CFM-001432
ahumada|https://comparafarma-api.vercel.app/api/go?slug=ahumada&matchkey=broncot%7c30ml&url=https%3a%2f%2fwww.farmaciasahumada.cl%2fbroncot-7.5-mg-ml-gotas-fco.-30ml-4499.html&cfmid=cfm-001439,ahumada,C,BRAND_ONLY_NAME_NO_MOLECULE_IN_TEXT,"el nombre solo trae cabecera comercial, ninguna molécula escrita",Broncot 7.5 mg/ml Gotas Fco. 30ml,broncot,,,0,false,false,ratio,liquido-oral,oral,,unresolved,ing+unit,true,ambroxol+ambroxol 30mg+ambroxol 30mg/5ml+ambroxol 30mg/5ml jarabe 100ml,https://comparafarma-api.vercel.app/api/go?slug=ahumada&matchKey=broncot%7C30ml&url=https%3A%2F%2Fwww.farmaciasahumada.cl%2Fbroncot-7.5-mg-ml-gotas-fco.-30ml-4499.html&cfmId=CFM-001439
ecofarmacias|https://comparafarma-api.vercel.app/api/go?slug=ecofarmacias&matchkey=amoxicilina&url=https%3a%2f%2fwww.ecofarmacias.cl%2fproducto%2famoxicilina-acido-clavulanico-250-625-polvo-para-suspension-oral%2f&cfmid=cfm-000907,ecofarmacias,D,CONCENTRATION_ABSENT,el nombre no declara concentración,"Amoxicilina / Ácido Clavulánico 250/62,5 Polvo Para Suspensión Oral",,amoxicilina+clavulanico,,2,true,true,absent,liquido-oral,oral,,unresolved,conc+unit,false,amoxicilina 500mg,https://comparafarma-api.vercel.app/api/go?slug=ecofarmacias&matchKey=amoxicilina&url=https%3A%2F%2Fwww.ecofarmacias.cl%2Fproducto%2Famoxicilina-acido-clavulanico-250-625-polvo-para-suspension-oral%2F&cfmId=CFM-000907
ecofarmacias|https://comparafarma-api.vercel.app/api/go?slug=ecofarmacias&matchkey=amoxicilina%7c20&url=https%3a%2f%2fwww.ecofarmacias.cl%2fproducto%2famoxicilinaacido-clavulanico-clav-500-125-x-20-comprimidos-recubiertos-cenabast%2f&cfmid=cfm-000803,ecofarmacias,G,AMBIGUOUS_AGAINST_REGISTRY,"más de un concepto candidato en el registro, sin desempate",Amoxicilina+Acido Clavulanico Clav 500/125  X 20 Comprimidos Recubiertos (Cenabast),,amoxicilina+clavulanico,,2,true,true,absent,comprimido,oral,comprimido,ambiguous,conc,false,amoxicilina 500mg,https://comparafarma-api.vercel.app/api/go?slug=ecofarmacias&matchKey=amoxicilina%7C20&url=https%3A%2F%2Fwww.ecofarmacias.cl%2Fproducto%2Famoxicilinaacido-clavulanico-clav-500-125-x-20-comprimidos-recubiertos-cenabast%2F&cfmId=CFM-000803
easyfarma|https://comparafarma-api.vercel.app/api/go?slug=easyfarma&matchkey=amoxicilina&url=https%3a%2f%2fnuevo.easyfarma.cl%2f102872-amoxicilina-acido-clavulanico-400mg-57mg-70-ml.html&cfmid=cfm-000907,easyfarma,H,TRUNCATED_SOURCE_NAME,la fuente entregó el nombre cortado,Amoxicilina/Acido...,,amoxicilina,,1,false,true,absent,,,,ambiguous,conc+form+route+unit,false,amoxicilina 500mg,https://comparafarma-api.vercel.app/api/go?slug=easyfarma&matchKey=amoxicilina&url=https%3A%2F%2Fnuevo.easyfarma.cl%2F102872-amoxicilina-acido-clavulanico-400mg-57mg-70-ml.html&cfmId=CFM-000907
easyfarma|https://comparafarma-api.vercel.app/api/go?slug=easyfarma&matchkey=amoxicilina&url=https%3a%2f%2fnuevo.easyfarma.cl%2f103308-amoxicilina-acido-clavulanico-500-125-x-20-comp-lab-ascend.html&cfmid=cfm-000907,easyfarma,H,TRUNCATED_SOURCE_NAME,la fuente entregó el nombre cortado,Amoxicilina + Acido...,,amoxicilina,,1,false,true,absent,,,,ambiguous,conc+form+route+unit,false,amoxicilina 500mg,https://comparafarma-api.vercel.app/api/go?slug=easyfarma&matchKey=amoxicilina&url=https%3A%2F%2Fnuevo.easyfarma.cl%2F103308-amoxicilina-acido-clavulanico-500-125-x-20-comp-lab-ascend.html&cfmId=CFM-000907
easyfarma|https://comparafarma-api.vercel.app/api/go?slug=easyfarma&matchkey=amoxicilina&url=https%3a%2f%2fnuevo.easyfarma.cl%2f32716-amoxicilina-acido-clavulanico-875-125-mg-x-20.html&cfmid=cfm-000907,easyfarma,H,TRUNCATED_SOURCE_NAME,la fuente entregó el nombre cortado,Amoxicilina + Ac...,,amoxicilina,,1,false,true,absent,,,,ambiguous,conc+form+route+unit,false,amoxicilina 500mg,https://comparafarma-api.vercel.app/api/go?slug=easyfarma&matchKey=amoxicilina&url=https%3A%2F%2Fnuevo.easyfarma.cl%2F32716-amoxicilina-acido-clavulanico-875-125-mg-x-20.html&cfmId=CFM-000907
salcobrand|https://comparafarma-api.vercel.app/api/go?slug=salcobrand&matchkey=amoxicilina%7c14&url=https%3a%2f%2fsalcobrand.cl%2fproducts%2fopko-amoxicilina-acido-clavulanico-b-875-125-14-comprimidos-recubiertos%3fdefault_sku%3d1768030&cfmid=cfm-000893,salcobrand,G,AMBIGUOUS_AGAINST_REGISTRY,"más de un concepto candidato en el registro, sin desempate",Amoxicilina / Ácido Clavulánico (B) 875/125 14 Comprimidos Recubiertos,,amoxicilina+clavulanico,,2,true,true,absent,comprimido,oral,comprimido,ambiguous,conc,false,amoxicilina 500mg,https://comparafarma-api.vercel.app/api/go?slug=salcobrand&matchKey=amoxicilina%7C14&url=https%3A%2F%2Fsalcobrand.cl%2Fproducts%2Fopko-amoxicilina-acido-clavulanico-b-875-125-14-comprimidos-recubiertos%3Fdefault_sku%3D1768030&cfmId=CFM-000893
salcobrand|https://comparafarma-api.vercel.app/api/go?slug=salcobrand&matchkey=amoxicilina%7c20&url=https%3a%2f%2fsalcobrand.cl%2fproducts%2famoxicilina-acido-clavulanico-b-500-125-20-comprimidos-recubiertos%3fdefault_sku%3d1763275&cfmid=cfm-000803,salcobrand,G,AMBIGUOUS_AGAINST_REGISTRY,"más de un concepto candidato en el registro, sin desempate",Amoxicilina / Acido Clavulánico (B) 500/125 20 Comprimidos Recubiertos,,amoxicilina+clavulanico,,2,true,true,absent,comprimido,oral,comprimido,ambiguous,conc,false,amoxicilina 500mg,https://comparafarma-api.vercel.app/api/go?slug=salcobrand&matchKey=amoxicilina%7C20&url=https%3A%2F%2Fsalcobrand.cl%2Fproducts%2Famoxicilina-acido-clavulanico-b-500-125-20-comprimidos-recubiertos%3Fdefault_sku%3D1763275&cfmId=CFM-000803
salcobrand|https://comparafarma-api.vercel.app/api/go?slug=salcobrand&matchkey=maximox%7c14&url=https%3a%2f%2fsalcobrand.cl%2fproducts%2facido-clavulanico-125mg-amoxicilina-875mg-oral-solido-83a0ca42-b9c7-4c3b-b584-25d831bd287e%3fdefault_sku%3d2501113&cfmid=cfm-000919,salcobrand,G,AMBIGUOUS_AGAINST_REGISTRY,"más de un concepto candidato en el registro, sin desempate",Maximox (B) 875/125 Amoxicilina / ícido Clavulánico 14 Comprimidos Recubiertos,,amoxicilina+clavulanico,,2,true,true,absent,comprimido,oral,comprimido,ambiguous,conc,false,amoxicilina 500mg,https://comparafarma-api.vercel.app/api/go?slug=salcobrand&matchKey=maximox%7C14&url=https%3A%2F%2Fsalcobrand.cl%2Fproducts%2Facido-clavulanico-125mg-amoxicilina-875mg-oral-solido-83a0ca42-b9c7-4c3b-b584-25d831bd287e%3Fdefault_sku%3D2501113&cfmId=CFM-000919
salcobrand|https://comparafarma-api.vercel.app/api/go?slug=salcobrand&matchkey=maximox%7c20&url=https%3a%2f%2fsalcobrand.cl%2fproducts%2facido-clavulanico-125mg-amoxicilina-875mg-oral-solido-717e7b95-7249-428c-b210-d0853378111c%3fdefault_sku%3d2501114&cfmid=cfm-000917,salcobrand,G,AMBIGUOUS_AGAINST_REGISTRY,"más de un concepto candidato en el registro, sin desempate",Maximox (B) 875/125 Amoxicilina / ícido Clavulánico 20 Comprimidos Recubiertos,,amoxicilina+clavulanico,,2,true,true,absent,comprimido,oral,comprimido,ambiguous,conc,false,amoxicilina 500mg,https://comparafarma-api.vercel.app/api/go?slug=salcobrand&matchKey=maximox%7C20&url=https%3A%2F%2Fsalcobrand.cl%2Fproducts%2Facido-clavulanico-125mg-amoxicilina-875mg-oral-solido-717e7b95-7249-428c-b210-d0853378111c%3Fdefault_sku%3D2501114&cfmId=CFM-000917
ahumada|https://comparafarma-api.vercel.app/api/go?slug=ahumada&matchkey=ambilan%7c14&url=https%3a%2f%2fwww.farmaciasahumada.cl%2fambilan-bid-875-125-14-comprimidos-recubiertos-94710.html&cfmid=cfm-000938,ahumada,C,BRAND_ONLY_NAME_NO_MOLECULE_IN_TEXT,"el nombre solo trae cabecera comercial, ninguna molécula escrita",Ambilan Bid 875/125 14 Comprimidos Recubiertos,ambilan,,,2,true,false,absent,comprimido,oral,comprimido,unresolved,ing+conc,false,amoxicilina 500mg,https://comparafarma-api.vercel.app/api/go?slug=ahumada&matchKey=ambilan%7C14&url=https%3A%2F%2Fwww.farmaciasahumada.cl%2Fambilan-bid-875-125-14-comprimidos-recubiertos-94710.html&cfmId=CFM-000938
