classification,query,generatedURL,sourcePresentationKey,resolvedPresentationKey,resolverSearchQuery
RESOLVED_EXACT,losartan,/medicamento/losartan-potasico-50-mg-x-30-comprimidos-ascend-1emlndrwk85zw,losartan|50mg|30|bio:unknown|brand:ascend|form:solid-oral,losartan|50mg|30|bio:unknown|brand:ascend|form:solid-oral,"losartan potasico 50 mg x 30 comprimidos ascend"
RESOLVED_EXACT,losartan,/medicamento/losartan-potasico-50-mg-x30com-eurofarma-15352f01r1itu,losartan|50mg|30|bio:unknown|brand:eurofarma|form:solid-oral,losartan|50mg|30|bio:unknown|brand:eurofarma|form:solid-oral,"losartan potasico 50 mg x30com eurofarma"
RESOLVED_WRONG_PRODUCT,omeprazol,/medicamento/omeprazol-20-mg-x-30-capsulas-opko-cenabast-descuento-3spaum39ayw3q,omeprazol|20mg|30|bio:true|brand:unknown|form:solid-oral,omeprazol|20mg|30|bio:unknown|brand:unknown|form:solid-oral,"omeprazol 20 mg x 30 capsulas opko cenabast descuento"
RESOLVED_EXACT,omeprazol,/medicamento/omeprazol-20-mg-x-30-capsulas-curae-spring-uvtp09xio8o1,omeprazol|20mg|30|bio:unknown|brand:curaespring|form:solid-oral,omeprazol|20mg|30|bio:unknown|brand:curaespring|form:solid-oral,"omeprazol 20 mg x 30 capsulas curae spring"
RESOLVED_EXACT,omeprazol,/medicamento/omeprazol-20-mg-x-30-comprimidos-opko-1gbrcde4f9qq1,omeprazol|20mg|30|bio:unknown|brand:opko|form:solid-oral,omeprazol|20mg|30|bio:unknown|brand:opko|form:solid-oral,"omeprazol 20 mg x 30 comprimidos opko"
NOT_FOUND,omeprazol,/medicamento/omeprazol-40-mg-10-ml-inyectable-x-1-frasco-ampolla-hospifarma-39s3e5t9i8dqo,omeprazol|10ml|bio:unknown|brand:hospifarma|form:injectable,,"omeprazol 40 mg 10 ml inyectable x 1 frasco ampolla hospifarma"
RESOLVED_EXACT,omeprazol,/medicamento/omeprazol-20-mg-30-capsulas-con-granulos-con-recubrimiento-enterico-13z4jrakaqfka,omeprazol|20mg|30|bio:true|brand:ascend|form:solid-oral,omeprazol|20mg|30|bio:true|brand:ascend|form:solid-oral,"omeprazol 20 mg 30 capsulas con granulos con recubrimiento enterico"
RESOLVED_EXACT,omeprazol,/medicamento/omeprazol-20-mg-x-30-capsulas-3j3gyd1rxo21i,omeprazol|20mg|30|bio:unknown|brand:ascend|form:solid-oral,omeprazol|20mg|30|bio:unknown|brand:ascend|form:solid-oral,"omeprazol 20 mg x 30 capsulas"
RESOLVED_EXACT,omeprazol,/medicamento/omeprazol-20-mg-x-30-capsulas-wux72s3209m5,omeprazol|20mg|30|bio:unknown|brand:chile|form:solid-oral,omeprazol|20mg|30|bio:unknown|brand:chile|form:solid-oral,"omeprazol 20 mg x 30 capsulas"
RESOLVED_EXACT,omeprazol,/medicamento/omeprazol-b-20mg-30-capsulas-hom2oef75f0y,omeprazol|20mg|30|bio:unknown|brand:unknown|form:solid-oral,omeprazol|20mg|30|bio:unknown|brand:unknown|form:solid-oral,"omeprazol b 20mg 30 capsulas"
RESOLVED_EXACT,metformina,/medicamento/metformina-clorhidrato-850mg-x-30-comprimidos-1myertuuz6lsw,metformina|850mg|30|bio:true|brand:unknown|form:solid-oral,metformina|850mg|30|bio:true|brand:unknown|form:solid-oral,"metformina clorhidrato 850mg x 30 comprimidos"
RESOLVED_EXACT,metformina,/medicamento/metformina-850-mg-x-60-comprimidos-cenabast-1bfr2udfh1c17,metformina|850mg|60|bio:true|brand:unknown|form:solid-oral,metformina|850mg|60|bio:true|brand:unknown|form:solid-oral,"metformina 850 mg x 60 comprimidos cenabast"
RESOLVED_EXACT,metformina,/medicamento/metformina-850-mg-30-comprimidos-recubiertos-3rh310iqp5kh0,metformina|850mg|30|bio:true|brand:ascend|form:solid-oral,metformina|850mg|30|bio:true|brand:ascend|form:solid-oral,"metformina 850 mg 30 comprimidos recubiertos"
NOT_FOUND,metformina,/medicamento/metformina-1000mg-x-30-comp-de-liberacion-prolongada-descuento-1pnlt8zov822a,metformina|1000mg|30|bio:true|brand:unknown|form:solid-oral,,"metformina 1000mg x 30 comp de liberacion prolongada descuento"
RESOLVED_EXACT,metformina,/medicamento/metformina-xr-500-mg-x-30-comprimidos-caplin-point-cenabast-nedpgmto6uul,metformina|500mg|30|bio:unknown|brand:ascend|var:xr|form:solid-oral,metformina|500mg|30|bio:unknown|brand:ascend|var:xr|form:solid-oral,"metformina xr 500 mg x 30 comprimidos caplin point cenabast"
RESOLVED_EXACT,metformina,/medicamento/metformina-850-mg-30-comp-3fjsswx0mpswj,metformina|850mg|30|bio:unknown|brand:opko|form:solid-oral,metformina|850mg|30|bio:unknown|brand:opko|form:solid-oral,"metformina 850 mg 30 comp"
NOT_FOUND,metformina,/medicamento/metformina-clorhidrato-500-mg-x-30-comprimidos-cenabast-1r2bzkyi5j0fa,metformina|500mg|30|bio:true|brand:unknown|form:solid-oral,,"metformina clorhidrato 500 mg x 30 comprimidos cenabast"
NOT_FOUND,metformina,/medicamento/metformina-clorhidrato750-mg-x-30-comprimidos-cenabast-descuento-19yer1kn0gv9v,metformina|750mg|30|bio:unknown|brand:unknown|form:solid-oral,,"metformina clorhidrato750 mg x 30 comprimidos cenabast descuento"
RESOLVED_EXACT,clorfenamina,/medicamento/clorfenamina-maleato-4-mg-x-20-comprimidos-chile-2pqxu68cjwthx,clorfenamina|4mg|20|bio:true|brand:unknown|form:solid-oral,clorfenamina|4mg|20|bio:true|brand:unknown|form:solid-oral,"clorfenamina maleato 4 mg x 20 comprimidos chile"
RESOLVED_EXACT,clorfenamina,/medicamento/clorfenamina-4-mg-20-comprimidos-2nzi73t6n303v,clorfenamina|4mg|20|bio:true|brand:teva|form:solid-oral,clorfenamina|4mg|20|bio:true|brand:teva|form:solid-oral,"clorfenamina 4 mg 20 comprimidos"
NOT_FOUND,clorfenamina,/medicamento/geniol-caliente-noche-sobre-5g-1xznbql1vz7n5,geniol|5000mg|n|bio:unknown|brand:mintlab|var:caliente|form:fluid-oral,,"geniol caliente noche sobre 5g"
RESOLVED_EXACT,clorfenamina,/medicamento/clorfenamina-inyectable-10-2ivgzmq5sw5te,clorfenamina|bio:unknown|brand:unknown|form:injectable,clorfenamina|bio:unknown|brand:unknown|form:injectable,"clorfenamina inyectable 10"
RESOLVED_EXACT,clorfenamina,/medicamento/clorfenamina-4-mg-x-20-comprimidos-be-2f04wpx5ant68,clorfenamina|4mg|20|bio:unknown|brand:chile|form:solid-oral,clorfenamina|4mg|20|bio:unknown|brand:chile|form:solid-oral,"clorfenamina 4 mg x 20 comprimidos be"
RESOLVED_EXACT,clorfenamina,/medicamento/clorfenamina-4-mg-x-20-comp-1f9o5eqekv0yf,clorfenamina|4mg|20|bio:unknown|brand:unknown|form:solid-oral,clorfenamina|4mg|20|bio:unknown|brand:unknown|form:solid-oral,"clorfenamina 4 mg x 20 comp"
RESOLVED_EXACT,clorfenamina,/medicamento/tapsin-plus-limonada-noche-x5g-xeuvptn7baz7,tapsin|5000mg|n|5|bio:unknown|brand:maver|var:plus,tapsin|5000mg|n|5|bio:unknown|brand:maver|var:plus,"tapsin plus limonada noche x5g"
RESOLVED_EXACT,clorfenamina,/medicamento/clorfenamina-4-mg-x-20-comprimidos-31opnil33bmza,clorfenamina|4mg|20|bio:unknown|brand:mintlab|form:solid-oral,clorfenamina|4mg|20|bio:unknown|brand:mintlab|form:solid-oral,"clorfenamina 4 mg x 20 comprimidos"
NOT_FOUND,cetirizina,/medicamento/cetirizina-10-mg-x-30-comprimidos-curaespring-3lrdotee6go9,cetirizina|10mg|30|bio:unknown|brand:curaespring|form:solid-oral,,"cetirizina 10 mg x 30 comprimidos curaespring"
RESOLVED_EXACT,cetirizina,/medicamento/cetirizina-10-mg-x-30-comprimidos-pasteur-26mk6jjcvnr40,cetirizina|10mg|30|bio:unknown|brand:pasteur|form:solid-oral,cetirizina|10mg|30|bio:unknown|brand:pasteur|form:solid-oral,"cetirizina 10 mg x 30 comprimidos pasteur"
RESOLVED_EXACT,cetirizina,/medicamento/cetirizina-10mg-x30com-ascend-60oofw3vc4am,cetirizina|10mg|30|bio:unknown|brand:ascend|form:solid-oral,cetirizina|10mg|30|bio:unknown|brand:ascend|form:solid-oral,"cetirizina 10mg x30com ascend"
RESOLVED_EXACT,cetirizina,/medicamento/cetirizina-10mg-x30com-hospifarma-gj4fsrjpz1is,cetirizina|10mg|30|bio:unknown|brand:hospifarma|form:solid-oral,cetirizina|10mg|30|bio:unknown|brand:hospifarma|form:solid-oral,"cetirizina 10mg x30com hospifarma"
RESOLVED_EXACT,cetirizina,/medicamento/findaler-10-mg-x-30-comprimidos-1uj8luu3862w6,findaler|10mg|30|bio:unknown|brand:medipharm|form:solid-oral,findaler|10mg|30|bio:unknown|brand:medipharm|form:solid-oral,"findaler 10 mg x 30 comprimidos"
RESOLVED_EXACT,cetirizina,/medicamento/coolips-10mg-x10com-173eic70ka5gs,coolips|10mg|10|bio:unknown|brand:mintlab|form:solid-oral,coolips|10mg|10|bio:unknown|brand:mintlab|form:solid-oral,"coolips 10mg x10com"
RESOLVED_EXACT,cetirizina,/medicamento/cetirizina-5-mg-5-ml-x-60-ml-jarabe-hospifarma-chile-ltd-xskb49blse5w,cetirizina|60ml|60|bio:unknown|brand:unknown|form:fluid-oral,cetirizina|60ml|60|bio:unknown|brand:unknown|form:fluid-oral,"cetirizina 5 mg 5 ml x 60 ml jarabe hospifarma chile ltd"
