query,pharmacy,rawName,legacyMatchKey,legacyPresentationKey,v1CardKey,provisionalConceptKey,provisionalPresentationKey,provisionalProductKey,provisionalOfferKey,activeIngredients,ingredientEvidence,concentration,concentrationKind,dosageForm,route,packageQuantity,packageVolume,packageType,brand,commercialVariant,administrationTime,manufacturer,ispRegistration,conceptResolution,conceptConfidence,presentationResolution,productResolution,canonicalName
ambroxol 30mg/5ml,salcobrand,Ambroxol 30mg/5ml Jarabe 100ml,ambroxol|100ml,ambroxol|100ml|bio:unknown|brand:ambroxol|form:fluid-oral,ambroxol-30mg-5ml#11,PROV-C-4m1ctryale2owt01jzkwox298,PROV-P-5ql1fhhoiwvtwkxs32ormwmkv,PROV-M-607mf03zfd6w8t39syzf2a5ui,PROV-O-b3tgfkc0i4xsd4voi4qnf5ajd,ambroxol,vocabulary,conc:ratio:6mg/ml,ratio,,oral,,100ml,,,,,,,isolated,low,isolated,isolated,ambroxol 30 mg/5 ml liquido-oral 100 ml
ambroxol 30mg/5ml,cruz-verde,Mintamox Adulto Ambroxol 30 mg / 5 mL Jarabe 100 mL,mintamox|100ml,mintamox|100ml|bio:unknown|brand:unknown|var:ambroxol|form:fluid-oral,ambroxol-30mg-5ml#13,PROV-C-4m1ctryale2owt01jzkwox298,PROV-P-5ql1fhhoiwvtwkxs32ormwmkv,PROV-M-b6ezxo1vagin1711s6mbvoz6e,PROV-O-2xoviioz86qwvt7sg2qre1883,ambroxol,vocabulary,conc:ratio:6mg/ml,ratio,,oral,,100ml,,Mintamox,,,,,isolated,low,isolated,isolated,Mintamox ambroxol 30 mg/5 ml liquido-oral 100 ml
ambroxol 30mg/5ml,cruz-verde,Muxol Jarabe Adulto Ambroxol 600 mg / 100 ml,muxol|100ml,muxol|100ml|bio:unknown|brand:unknown|var:ambroxol|form:fluid-oral,ambroxol-30mg-5ml#15,PROV-C-4m1ctryale2owt01jzkwox298,PROV-P-b5brmurghfzbkuqqffdptt2z4,PROV-M-4avjruhejazcp5b1mr111brhr,PROV-O-eg3yxbe3fi2f4qwhjp52vqq45,ambroxol,vocabulary,conc:ratio:6mg/ml,ratio,,oral,,,,Muxol,,,,,isolated,low,ambiguous,isolated,Muxol ambroxol 600 mg/100 ml liquido-oral
ambroxol 30mg/5ml,farmex,Muxol Jarabe adulto Ambroxol 30 mg / 5 mL x 100 mL,muxol|100ml|100,muxol|100ml|100|bio:unknown|brand:eurolab|var:ambroxol|form:fluid-oral,ambroxol-30mg-5ml#16,PROV-C-4m1ctryale2owt01jzkwox298,PROV-P-5ql1fhhoiwvtwkxs32ormwmkv,PROV-M-3ipjwsxenezajvt2bzu44440k,PROV-O-a9rmb4dkg8wtdbtwely8tvds5,ambroxol,vocabulary,conc:ratio:6mg/ml,ratio,,oral,,100ml,,Muxol,,,Eurolab,,isolated,low,isolated,isolated,Muxol ambroxol 30 mg/5 ml liquido-oral 100 ml
ambroxol 30mg/5ml,salcobrand,Broncot Ambroxol 30mg/5ml 120ml,broncot|120ml,broncot|120ml|bio:unknown|brand:broncot|var:ambroxol,ambroxol-30mg-5ml#19,PROV-C-4m1ctryale2owt01jzkwox298,PROV-P-aplakmxn4wt4fvrqedho6vust,PROV-M-9lbg75sm4d0aai23zs5jnfftz,PROV-O-3f108joh1ozq8377mum14qg4h,ambroxol,vocabulary,conc:ratio:6mg/ml,ratio,,,,120ml,,Broncot,,,,,subsumed,medium,isolated,isolated,Broncot ambroxol 30 mg/5 ml 120 ml
ambroxol 30mg/5ml,salcobrand,Muxol Ambroxol 20 Comprimidos,muxol|20,muxol|20|bio:unknown|brand:muxol|var:ambroxol|form:solid-oral,ambroxol-30mg-5ml#24,PROV-C-1p5t8f8ivfn295fh30wgqi5wj,PROV-P-585o10mp0lwcfcani3b0rpdep,PROV-M-4am0pptffy338pfokfihd4gtz,PROV-O-5x9lnk6fbgutqpjfnxkpwffhb,ambroxol,vocabulary,conc:?,absent,,oral,20,,,Muxol,,,,,subsumed,medium,complete,isolated,Muxol ambroxol comprimido x 20 comprimido
ambroxol 30mg/5ml,cruz-verde,Tocalm Pediatrico Ambroxol 15 mg/5mL Jarabe 100 mL,tocalm|100ml,tocalm|100ml|bio:unknown|brand:unknown|var:infantil|form:fluid-oral,ambroxol-30mg-5ml#25,PROV-C-6f4bbwj7000u0xdt17rmsc0ah,PROV-P-6edjouqix8onn8kb1v95bzon3,PROV-M-dfhbguznin0t1z77vqqsd3f8z,PROV-O-81wk1o9ju4sau98oanw3xbsxz,ambroxol,vocabulary,conc:ratio:3mg/ml,ratio,,oral,,100ml,,Tocalm,infantil,,,,isolated,low,isolated,isolated,Tocalm ambroxol infantil 15 mg/5 ml liquido-oral 100 ml
ambroxol 30mg/5ml,araucomed,Ambroxol 15mg/5ml jarabe 100ml (Eurofarma),ambroxol|100ml,ambroxol|100ml|bio:unknown|brand:eurofarma|form:fluid-oral,ambroxol-30mg-5ml#26,PROV-C-6f4bbwj7000u0xdt17rmsc0ah,PROV-P-6edjouqix8onn8kb1v95bzon3,PROV-M-ae76ielzi9v98fmvhkgerp75x,PROV-O-58cleqtib8fwxpw5nmrkt5ndf,ambroxol,vocabulary,conc:ratio:3mg/ml,ratio,,oral,,100ml,,,,,Eurofarma,,isolated,low,isolated,isolated,ambroxol 15 mg/5 ml liquido-oral 100 ml
ambroxol 30mg/5ml,ecofarmacias,Ambroxol clorhidrato 30mg 100ml Ascend DESCUENTO,ambroxol|100ml,ambroxol|100ml|bio:unknown|brand:unknown,ambroxol-30mg-5ml#27,PROV-C-7rearyk6f5iivzra66i8vcjes,PROV-P-adizj0efaujupknsaq8jpi30f,PROV-M-awqea2zzbtkua5l8x4rph4o9n,PROV-O-eypafxcmy3ppmt8fsqp4bk0gx,ambroxol,vocabulary,conc:mass:30mg,mass-only,,,,100ml,,,,,,,ambiguous,ambiguous,isolated,isolated,ambroxol 30 mg 100 ml
ambroxol 30mg/5ml,araucomed,Ambroxol 15mg/5ml jarabe infantil x 100 ml. (Ascend),ambroxol|100ml|100,ambroxol|100ml|100|bio:unknown|brand:ascend|form:fluid-oral,ambroxol-30mg-5ml#28,PROV-C-6f4bbwj7000u0xdt17rmsc0ah,PROV-P-6edjouqix8onn8kb1v95bzon3,PROV-M-03f61jeinxxf70586jtwrf0rb,PROV-O-4h69c9kg48t9g8im159y1s98x,ambroxol,vocabulary,conc:ratio:3mg/ml,ratio,,oral,,100ml,,,,,Ascend,,isolated,low,isolated,isolated,ambroxol 15 mg/5 ml liquido-oral 100 ml
ambroxol 30mg/5ml,ecofarmacias,Ambroxol Infantil 100ml (Andromaco),ambroxol|100ml,ambroxol|100ml|bio:unknown|brand:unknown|var:infantil,ambroxol-30mg-5ml#29,PROV-C-6rc0o4e4inw81357d00n6geh0,PROV-P-cnqzmgpncsquxkvidobwdnxnj,PROV-M-93qypofdk5kaom1ogbnm7gptc,PROV-O-9xhnn51dnwzpjsh23on1y8pj7,ambroxol,vocabulary,conc:?,absent,,,,100ml,,,infantil,,,,ambiguous,ambiguous,isolated,isolated,ambroxol infantil 100 ml
ambroxol 30mg/5ml,cruz-verde,Ambroxol 15 mg/5mL Jarabe 100 mL,ambroxol|100ml,ambroxol|100ml|bio:unknown|brand:unknown|form:fluid-oral,ambroxol-30mg-5ml#43,PROV-C-6f4bbwj7000u0xdt17rmsc0ah,PROV-P-6edjouqix8onn8kb1v95bzon3,PROV-M-chnw6ngo6pju8whaa7n1e5fon,PROV-O-2t37n7rv8uzktnso0y7a9zk9h,ambroxol,vocabulary,conc:ratio:3mg/ml,ratio,,oral,,100ml,,,,,,,isolated,low,isolated,isolated,ambroxol 15 mg/5 ml liquido-oral 100 ml
ambroxol 30mg/5ml,cruz-verde,Muxol Ambroxol 30 mg 20 Comprimidos,muxol|30mg|20,muxol|30mg|20|bio:unknown|brand:unknown|var:ambroxol|form:solid-oral,ambroxol-30mg-5ml#52,PROV-C-1p5t8f8ivfn295fh30wgqi5wj,PROV-P-585o10mp0lwcfcani3b0rpdep,PROV-M-4am0pptffy338pfokfihd4gtz,PROV-O-2mtz7coqnnt8ns329p3buiei9,ambroxol,vocabulary,conc:mass:30mg,mass-only,,oral,20,,,Muxol,,,,,complete,high,complete,isolated,Muxol ambroxol 30 mg comprimido x 20 comprimido
ambroxol 30mg/5ml,salcobrand,Broncot Ambroxol Clorhidrato 7.5mg/ml Gotas 30ml,broncot|30ml,broncot|30ml|bio:unknown|brand:broncot|var:ambroxol|form:fluid-oral,ambroxol-30mg-5ml#55,PROV-C-9ecfyz9nwiyellxdl4px7j4nq,PROV-P-c9h02ca3zmgb41u7raqw1usqj,PROV-M-51izp8pin9w0xwptd1ftpxnr6,PROV-O-c1ntw8cor4jk83wrgyf3w3h89,ambroxol,vocabulary,conc:ratio:7.5mg/ml,ratio,,oral,,30ml,,Broncot,,,,,isolated,low,isolated,isolated,Broncot ambroxol 7.5 mg/ml liquido-oral 30 ml
ambroxol 30mg/5ml,cruz-verde,"Broncot Ambroxol 7,5 mg/mL Gotas 30 mL",broncot|30ml,broncot|30ml|bio:unknown|brand:unknown|var:ambroxol|form:fluid-oral,ambroxol-30mg-5ml#56,PROV-C-9ecfyz9nwiyellxdl4px7j4nq,PROV-P-c9h02ca3zmgb41u7raqw1usqj,PROV-M-51izp8pin9w0xwptd1ftpxnr6,PROV-O-c78w0v4z016auw4yojj6w8ttk,ambroxol,vocabulary,conc:ratio:7.5mg/ml,ratio,,oral,,30ml,,Broncot,,,,,isolated,low,isolated,isolated,Broncot ambroxol 7.5 mg/ml liquido-oral 30 ml
amoxicilina 500mg,sermecoop,Amoxicilina 500mg/acido Clavulanico 125mg 20 Comprimidos Ethon,amoxicilina|500mg|20,amoxicilina|500mg|20|bio:true|brand:unknown|combo:acido|form:solid-oral,amoxicilina-500mg#9,PROV-C-4tx0u9ydjkfrn78ts9ze6o6hw,PROV-P-eoxl0ytdqnxolh2ao1cdnvfnb,PROV-M-b2anux9ic9nnoscgn50hnfr58,PROV-O-03zdxhyjwuqzm56ee130nx1hn,acido+amoxicilina+clavulanico,combination+vocabulary,conc:mass:500mg,mass-only,,oral,20,,,,,,,,complete,high,complete,isolated,acido + amoxicilina + clavulanico 500 mg comprimido x 20 comprimido
amoxicilina 500mg,cruz-verde,Amoxicilina 500 mg + Acido Clavulánico 125 mg 20 Comprimidos,amoxicilina|500mg|20,amoxicilina|500mg|20|bio:unknown|brand:unknown|combo:acido|form:solid-oral,amoxicilina-500mg#11,PROV-C-4tx0u9ydjkfrn78ts9ze6o6hw,PROV-P-eoxl0ytdqnxolh2ao1cdnvfnb,PROV-M-b2anux9ic9nnoscgn50hnfr58,PROV-O-86xozlet9vmpshx8rzsloiwbn,acido+amoxicilina+clavulanico,combination+vocabulary,conc:mass:500mg,mass-only,,oral,20,,,,,,,,complete,high,complete,isolated,acido + amoxicilina + clavulanico 500 mg comprimido x 20 comprimido
amoxicilina 500mg,ecofarmacias,Amoxicilina+Acido Clavulanico Clav 500/125  X 20 Comprimidos Recubiertos (Cenabast),amoxicilina|20,amoxicilina|20|bio:true|brand:unknown|combo:acido|form:solid-oral,amoxicilina-500mg#14,PROV-C-8ki0xt0xqiaiu3lith53oc3z6,PROV-P-78b6esy22r5od3t4aelh91zvb,PROV-M-bdqzxojmmutqtsn0tzci03l4y,PROV-O-7wtnx7rm843uhk9btqgn9s9ux,acido+amoxicilina+clavulanico,combination+vocabulary,conc:?,absent,,oral,20,,,,,,,,ambiguous,ambiguous,complete,isolated,acido + amoxicilina + clavulanico comprimido x 20 comprimido
amoxicilina 500mg,easyfarma,Amoxicilina/Acido...,amoxicilina,amoxicilina|bio:unknown|brand:unknown|combo:acido,amoxicilina-500mg#17,PROV-C-6e48rb3k7vjm10k3sq8edo7yl,PROV-P-46kgineb39c7o9pwv1hfoytnh,PROV-M-9lpdzy54grjkpp1w8dozp3zg3,PROV-O-b8u4znpuc4s6lzpo4pr1lbkcm,acido+amoxicilina,combination+vocabulary,conc:?,absent,,,,,,,,,,,isolated,low,isolated,isolated,acido + amoxicilina
amoxicilina 500mg,easyfarma,Amoxicilina + Acido...,amoxicilina,amoxicilina|bio:unknown|brand:ascend|combo:acido,amoxicilina-500mg#18,PROV-C-6e48rb3k7vjm10k3sq8edo7yl,PROV-P-46kgineb39c7o9pwv1hfoytnh,PROV-M-9lpdzy54grjkpp1w8dozp3zg3,PROV-O-c8z0yw1z8m3a3psraxw9ivfq1,acido+amoxicilina,combination+vocabulary,conc:?,absent,,,,,,,,,,,isolated,low,isolated,isolated,acido + amoxicilina
amoxicilina 500mg,salcobrand,Amoxicilina / Acido Clavulánico (B) 500/125 20 Comprimidos Recubiertos,amoxicilina|20,amoxicilina|20|bio:unknown|brand:unknown|combo:acido|form:solid-oral,amoxicilina-500mg#21,PROV-C-8ki0xt0xqiaiu3lith53oc3z6,PROV-P-78b6esy22r5od3t4aelh91zvb,PROV-M-bdqzxojmmutqtsn0tzci03l4y,PROV-O-772nxpygjibmj2ks1lxg8v6y5,acido+amoxicilina+clavulanico,combination+vocabulary,conc:?,absent,,oral,20,,,,,,,,ambiguous,ambiguous,complete,isolated,acido + amoxicilina + clavulanico comprimido x 20 comprimido
amoxicilina 500mg,ecofarmacias,Amoxicilina Acido Clavulanico 400/57mg Suspensión oral 70ml,amoxicilina|70ml,amoxicilina|70ml|bio:unknown|brand:unknown|combo:acido|form:fluid-oral,amoxicilina-500mg#41,PROV-C-9nbxkaprq7tc8f95t36jb5q5u,PROV-P-3i97jrqz4abgdb15wrs1jhd5t,PROV-M-890wp6g6fto47vi7ozhj2wnnu,PROV-O-97j7svaj81d1fxrc3tkpn2gkp,acido+amoxicilina+clavulanico,combination+vocabulary,conc:mass:57mg,mass-only,,oral,,70ml,,,,,,,isolated,low,isolated,isolated,acido + amoxicilina + clavulanico 57 mg liquido-oral 70 ml
amoxicilina 500mg,ecofarmacias,Amoxicilina+ácido Clavulánico 875mg 125mg por 20 comprimidos Ascend (Cenabast),amoxicilina|875mg|20,amoxicilina|875mg|20|bio:true|brand:unknown|combo:acido|form:solid-oral,amoxicilina-500mg#46,PROV-C-5qexccbd65ccv5k291fc81lsj,PROV-P-81blre5qa523y5w0avqmoa6ng,PROV-M-7l1nk7zc13wo91ry0btf8ba2f,PROV-O-4c3x5c2y53vawiptygdq22nj3,acido+amoxicilina+clavulanico,combination+vocabulary,conc:mass:875mg,mass-only,,oral,20,,,,,,,,complete,high,complete,isolated,acido + amoxicilina + clavulanico 875 mg comprimido x 20 comprimido
amoxicilina 500mg,sermecoop,Amoxicilina 875mg/acido Clavulanico 125mg 20 Comprimidos,amoxicilina|875mg|20,amoxicilina|875mg|20|bio:true|brand:unknown|combo:acido|form:solid-oral,amoxicilina-500mg#46,PROV-C-5qexccbd65ccv5k291fc81lsj,PROV-P-81blre5qa523y5w0avqmoa6ng,PROV-M-7l1nk7zc13wo91ry0btf8ba2f,PROV-O-6311cwy3y567x6gcypdtwehk7,acido+amoxicilina+clavulanico,combination+vocabulary,conc:mass:875mg,mass-only,,oral,20,,,,,,,,complete,high,complete,isolated,acido + amoxicilina + clavulanico 875 mg comprimido x 20 comprimido
amoxicilina 500mg,sermecoop,Amoxicilina/Ácido Clavulánico Suspension 400/57 Mg X 70 Ml,amoxicilina|70ml|70,amoxicilina|70ml|70|bio:unknown|brand:unknown|combo:acido|form:fluid-oral,amoxicilina-500mg#51,PROV-C-9nbxkaprq7tc8f95t36jb5q5u,PROV-P-3i97jrqz4abgdb15wrs1jhd5t,PROV-M-890wp6g6fto47vi7ozhj2wnnu,PROV-O-druv0oaweyd6ib67wq8ogxv77,acido+amoxicilina+clavulanico,combination+vocabulary,conc:mass:57mg,mass-only,,oral,,70ml,,,,,,,isolated,low,isolated,isolated,acido + amoxicilina + clavulanico 57 mg liquido-oral 70 ml
diclofenaco 50mg,ecofarmacias,Adorlan 25/25 x 10 Comprimidos (Diclofenaco/Tramadol),adorlan|10,adorlan|10|bio:unknown|brand:unknown|combo:tramadol|form:solid-oral,diclofenaco-50mg#24,PROV-C-7w1hzdjfpvjjozwjs7r1yhesl,PROV-P-8qnyrh6dey2ynx1gww1b39j01,PROV-M-55v5nvlxbmnr87apzmoy5x2u4,PROV-O-enwf47ru6rs4d379jf7r77mxd,diclofenaco+tramadol,vocabulary+combination,conc:?,absent,,oral,10,,,,,,,,subsumed,medium,complete,isolated,diclofenaco + tramadol comprimido x 10 comprimido
diclofenaco 50mg,ecofarmacias,Dolodrin Diclofenaco 25 Mg / Tramadol 25 Mg x 10 Comprimidos,dolodrin|25mg|10,dolodrin|25mg|10|bio:unknown|brand:unknown|combo:tramadol|form:solid-oral,diclofenaco-50mg#96,PROV-C-7w1hzdjfpvjjozwjs7r1yhesl,PROV-P-8qnyrh6dey2ynx1gww1b39j01,PROV-M-55v5nvlxbmnr87apzmoy5x2u4,PROV-O-dcfxyfxrrxiznuid33o5j7c9m,diclofenaco+tramadol,vocabulary+combination,conc:mass:25mg,mass-only,,oral,10,,,,,,,,complete,high,complete,isolated,diclofenaco + tramadol 25 mg comprimido x 10 comprimido
diclofenaco 50mg,cruz-verde,Dolodrin Diclofenaco 25 Mg / Tramadol 25 Mg 10 Comprimidos,dolodrin|25mg|10,dolodrin|25mg|10|bio:unknown|brand:unknown|combo:tramadol|form:solid-oral,diclofenaco-50mg#96,PROV-C-7w1hzdjfpvjjozwjs7r1yhesl,PROV-P-8qnyrh6dey2ynx1gww1b39j01,PROV-M-55v5nvlxbmnr87apzmoy5x2u4,PROV-O-cjqbpoey6c3gflj2oj0pwy2ps,diclofenaco+tramadol,vocabulary+combination,conc:mass:25mg,mass-only,,oral,10,,,,,,,,complete,high,complete,isolated,diclofenaco + tramadol 25 mg comprimido x 10 comprimido
diclofenaco 50mg,salcobrand,Pro-Lertus Diclofenaco Colestiramina 140mg 10 Cápsulas Prolongadas,prolertus|140mg|10,prolertus|140mg|10|bio:unknown|brand:prolertus|var:colestiramina|form:solid-oral,diclofenaco-50mg#106,PROV-C-1is6rxd2ls274waktldm6pizc,PROV-P-6kikp90w14lnl67yvvhucnc25,PROV-M-0teej9onswiytqcm6zoca5d78,PROV-O-6kq0x3p1q3z3mys9tvg699775,colestiramina+diclofenaco,vocabulary,conc:mass:140mg,mass-only,,oral,10,,,Pro-Lertus,,,,,complete,high,complete,isolated,Pro-Lertus colestiramina + diclofenaco 140 mg capsula x 10 capsula
diclofenaco 50mg,cruz-verde,Pro-Lertus Diclofenaco Colestiramina 140 mg 10 Cápsulas,prolertus|140mg|10,prolertus|140mg|10|bio:unknown|brand:unknown|var:colestiramina|form:solid-oral,diclofenaco-50mg#110,PROV-C-1is6rxd2ls274waktldm6pizc,PROV-P-6kikp90w14lnl67yvvhucnc25,PROV-M-0teej9onswiytqcm6zoca5d78,PROV-O-ay1qby9vlv88rkvtn42ap0t2n,colestiramina+diclofenaco,vocabulary,conc:mass:140mg,mass-only,,oral,10,,,ProLertus,,,,,complete,high,complete,isolated,ProLertus colestiramina + diclofenaco 140 mg capsula x 10 capsula
ibuprofeno 400mg,farmex,Ibuprofeno 400 mg x 20 comprimidos.,ibuprofeno|400mg|20,ibuprofeno|400mg|20|bio:unknown|brand:unknown|form:solid-oral,ibuprofeno-400mg#0,PROV-C-cql9kxd6aacgio4ukgq8v4ldh,PROV-P-avoppocr1hysxb0yi86syqxup,PROV-M-0ed0x8j0hcvhpshpbsh0k05og,PROV-O-9f0d9k8thx95sl0ryiokdn2pe,ibuprofeno,vocabulary,conc:mass:400mg,mass-only,,oral,20,,,,,,,,complete,high,complete,isolated,ibuprofeno 400 mg comprimido x 20 comprimido
ibuprofeno 400mg,easyfarma,Ibuprofeno 400 mg x 20 comp,ibuprofeno|400mg|20,ibuprofeno|400mg|20|bio:unknown|brand:unknown|form:solid-oral,ibuprofeno-400mg#0,PROV-C-cql9kxd6aacgio4ukgq8v4ldh,PROV-P-avoppocr1hysxb0yi86syqxup,PROV-M-0ed0x8j0hcvhpshpbsh0k05og,PROV-O-6nkxt4gckgf5sk80t5qpza4yu,ibuprofeno,vocabulary,conc:mass:400mg,mass-only,,oral,20,,,,,,,,complete,high,complete,isolated,ibuprofeno 400 mg comprimido x 20 comprimido
ibuprofeno 400mg,cruz-verde,Ibuprofeno 400 mg 20 Comprimidos,ibuprofeno|400mg|20,ibuprofeno|400mg|20|bio:unknown|brand:unknown|form:solid-oral,ibuprofeno-400mg#0,PROV-C-cql9kxd6aacgio4ukgq8v4ldh,PROV-P-avoppocr1hysxb0yi86syqxup,PROV-M-0ed0x8j0hcvhpshpbsh0k05og,PROV-O-9tmie48whvc2peez5qtyt5dpm,ibuprofeno,vocabulary,conc:mass:400mg,mass-only,,oral,20,,,,,,,,complete,high,complete,isolated,ibuprofeno 400 mg comprimido x 20 comprimido
